 Óbitos por causas evitáveis de 5 a 74 anos - Santa Catarina
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"421340 PONTE SERRADA";45
"421350 PORTO BELO";101
"421360 PORTO UNIAO";150
"421370 POUSO REDONDO";66
"421380 PRAIA GRANDE";58
"421390 PRESIDENTE CASTELLO BRANCO";7
"421400 PRESIDENTE GETULIO";81
"421410 PRESIDENTE NEREU";6
"421415 PRINCESA";13
"421420 QUILOMBO";37
"421430 RANCHO QUEIMADO";6
"421440 RIO DAS ANTAS";35
"421450 RIO DO CAMPO";32
"421460 RIO DO OESTE";39
"421470 RIO DOS CEDROS";54
"421480 RIO DO SUL";282
"421490 RIO FORTUNA";15
"421500 RIO NEGRINHO";186
"421505 RIO RUFINO";10
"421507 RIQUEZA";20
"421510 RODEIO";59
"421520 ROMELANDIA";14
"421530 SALETE";35
"421535 SALTINHO";15
"421540 SALTO VELOSO";16
"421545 SANGAO";38
"421550 SANTA CECILIA";73
"421555 SANTA HELENA";15
"421560 SANTA ROSA DE LIMA";7
"421565 SANTA ROSA DO SUL";34
"421567 SANTA TEREZINHA";34
"421568 SANTA TEREZINHA DO PROGRESSO";12
"421569 SANTIAGO DO SUL";4
"421570 SANTO AMARO DA IMPERATRIZ";124
"421575 SAO BERNARDINO";4
"421580 SAO BENTO DO SUL";315
"421590 SAO BONIFACIO";12
"421600 SAO CARLOS";46
"421605 SAO CRISTOVAO DO SUL";33
"421610 SAO DOMINGOS";35
"421620 SAO FRANCISCO DO SUL";269
"421625 SAO JOAO DO OESTE";18
"421630 SAO JOAO BATISTA";105
"421635 SAO JOAO DO ITAPERIU";14
"421640 SAO JOAO DO SUL";39
"421650 SAO JOAQUIM";117
"421660 SAO JOSE";918
"421670 SAO JOSE DO CEDRO";53
"421680 SAO JOSE DO CERRITO";41
"421690 SAO LOURENCO DO OESTE";97
"421700 SAO LUDGERO";37
"421710 SAO MARTINHO";23
"421715 SAO MIGUEL DA BOA VISTA";5
"421720 SAO MIGUEL DO OESTE";120
"421725 SAO PEDRO DE ALCANTARA";24
"421730 SAUDADES";50
"421740 SCHROEDER";58
"421750 SEARA";68
"421755 SERRA ALTA";10
"421760 SIDEROPOLIS";58
"421770 SOMBRIO";123
"421775 SUL BRASIL";8
"421780 TAIO";74
"421790 TANGARA";29
"421795 TIGRINHOS";10
"421800 TIJUCAS";183
"421810 TIMBE DO SUL";20
"421820 TIMBO";144
"421825 TIMBO GRANDE";18
"421830 TRES BARRAS";73
"421835 TREVISO";10
"421840 TREZE DE MAIO";34
"421850 TREZE TILIAS";29
"421860 TROMBUDO CENTRAL";18
"421870 TUBARAO";481
"421875 TUNAPOLIS";18
"421880 TURVO";39
"421885 UNIAO DO OESTE";9
"421890 URUBICI";60
"421895 URUPEMA";11
"421900 URUSSANGA";82
"421910 VARGEAO";15
"421915 VARGEM";17
"421917 VARGEM BONITA";21
"421920 VIDAL RAMOS";27
"421930 VIDEIRA";234
"421935 VITOR MEIRELES";23
"421940 WITMARSUM";14
"421950 XANXERE";187
"421960 XAVANTINA";19
"421970 XAXIM";130
"421985 ZORTEA";14
"422000 BALNEARIO RINCAO";92
"Total";28057
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
