 Óbitos por causas evitáveis de 5 a 74 anos - Bahia
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"291790 JANDAIRA";28
"291800 JEQUIE";776
"291810 JEREMOABO";130
"291820 JIQUIRICA";58
"291830 JITAUNA";62
"291835 JOAO DOURADO";80
"291840 JUAZEIRO";997
"291845 JUCURUCU";36
"291850 JUSSARA";57
"291855 JUSSARI";40
"291860 JUSSIAPE";31
"291870 LAFAIETE COUTINHO";21
"291875 LAGOA REAL";32
"291880 LAJE";95
"291890 LAJEDAO";25
"291900 LAJEDINHO";12
"291905 LAJEDO DO TABOCAL";38
"291910 LAMARAO";32
"291915 LAPAO";113
"291920 LAURO DE FREITAS";801
"291930 LENCOIS";36
"291940 LICINIO DE ALMEIDA";41
"291950 LIVRAMENTO DE NOSSA SENHORA";136
"291955 LUIS EDUARDO MAGALHAES";307
"291960 MACAJUBA";44
"291970 MACARANI";100
"291980 MACAUBAS";138
"291990 MACURURE";17
"291992 MADRE DE DEUS";61
"291995 MAETINGA";22
"292000 MAIQUINIQUE";43
"292010 MAIRI";66
"292020 MALHADA";47
"292030 MALHADA DE PEDRAS";32
"292040 MANOEL VITORINO";42
"292045 MANSIDAO";24
"292050 MARACAS";122
"292060 MARAGOGIPE";162
"292070 MARAU";53
"292080 MARCIONILIO SOUZA";27
"292090 MASCOTE";54
"292100 MATA DE SAO JOAO";203
"292105 MATINA";35
"292110 MEDEIROS NETO";108
"292120 MIGUEL CALMON";130
"292130 MILAGRES";55
"292140 MIRANGABA";69
"292145 MIRANTE";26
"292150 MONTE SANTO";136
"292160 MORPARA";40
"292170 MORRO DO CHAPEU";137
"292180 MORTUGABA";25
"292190 MUCUGE";32
"292200 MUCURI";158
"292205 MULUNGU DO MORRO";54
"292210 MUNDO NOVO";96
"292220 MUNIZ FERREIRA";35
"292225 MUQUEM DE SAO FRANCISCO";33
"292230 MURITIBA";135
"292240 MUTUIPE";82
"292250 NAZARE";109
"292260 NILO PECANHA";40
"292265 NORDESTINA";62
"292270 NOVA CANAA";44
"292273 NOVA FATIMA";37
"292275 NOVA IBIA";22
"292280 NOVA ITARANA";30
"292285 NOVA REDENCAO";41
"292290 NOVA SOURE";105
"292300 NOVA VICOSA";183
"292303 NOVO HORIZONTE";35
"292305 NOVO TRIUNFO";33
"292310 OLINDINA";108
"292320 OLIVEIRA DOS BREJINHOS";86
"292330 OURICANGAS";30
"292335 OUROLANDIA";76
"292340 PALMAS DE MONTE ALTO";77
"292350 PALMEIRAS";35
"292360 PARAMIRIM";64
"292370 PARATINGA";120
"292380 PARIPIRANGA";88
"292390 PAU BRASIL";49
"292400 PAULO AFONSO";494
"292405 PE DE SERRA";39
"292410 PEDRAO";28
"292420 PEDRO ALEXANDRE";28
"292430 PIATA";68
"292440 PILAO ARCADO";106
"292450 PINDAI";41
"292460 PINDOBACU";101
"292465 PINTADAS";38
"292467 PIRAI DO NORTE";19
"292470 PIRIPA";28
"292480 PIRITIBA";74
"292490 PLANALTINO";31
"292500 PLANALTO";123
"292510 POCOES";183
"292520 POJUCA";153
"292525 PONTO NOVO";60
"292530 PORTO SEGURO";627
"292540 POTIRAGUA";45
"292550 PRADO";165
"292560 PRESIDENTE DUTRA";53
"292570 PRESIDENTE JANIO QUADROS";37
"292575 PRESIDENTE TANCREDO NEVES";120
"292580 QUEIMADAS";99
"292590 QUIJINGUE";71
"292593 QUIXABEIRA";41
"292595 RAFAEL JAMBEIRO";62
"292600 REMANSO";174
"292610 RETIROLANDIA";54
"292620 RIACHAO DAS NEVES";83
"292630 RIACHAO DO JACUIPE";138
"292640 RIACHO DE SANTANA";121
"292650 RIBEIRA DO AMPARO";60
"292660 RIBEIRA DO POMBAL";203
"292665 RIBEIRAO DO LARGO";34
"292670 RIO DE CONTAS";39
"292680 RIO DO ANTONIO";39
"292690 RIO DO PIRES";35
"292700 RIO REAL";160
"292710 RODELAS";39
"292720 RUY BARBOSA";137
"292730 SALINAS DA MARGARIDA";65
"292740 SALVADOR";11155
"292750 SANTA BARBARA";83
"292760 SANTA BRIGIDA";40
"292770 SANTA CRUZ CABRALIA";127
"292780 SANTA CRUZ DA VITORIA";28
"292790 SANTA INES";58
"292800 SANTALUZ";111
"292805 SANTA LUZIA";63
"292810 SANTA MARIA DA VITORIA";142
"292820 SANTANA";85
"292830 SANTANOPOLIS";36
"292840 SANTA RITA DE CASSIA";89
"292850 SANTA TEREZINHA";46
"292860 SANTO AMARO";278
"292870 SANTO ANTONIO DE JESUS";451
"292880 SANTO ESTEVAO";208
"292890 SAO DESIDERIO";104
"292895 SAO DOMINGOS";46
"292900 SAO FELIX";50
"292905 SAO FELIX DO CORIBE";55
"292910 SAO FELIPE";69
"292920 SAO FRANCISCO DO CONDE";141
"292925 SAO GABRIEL";65
"292930 SAO GONCALO DOS CAMPOS";125
"292935 SAO JOSE DA VITORIA";32
"292937 SAO JOSE DO JACUIPE";39
"292940 SAO MIGUEL DAS MATAS";30
"292950 SAO SEBASTIAO DO PASSE";154
"292960 SAPEACU";93
"292970 SATIRO DIAS";69
"292975 SAUBARA";47
"292980 SAUDE";39
"292990 SEABRA";163
"293000 SEBASTIAO LARANJEIRAS";38
"293010 SENHOR DO BONFIM";368
"293015 SERRA DO RAMALHO";115
"293020 SENTO SE";119
"293030 SERRA DOURADA";51
"293040 SERRA PRETA";68
"293050 SERRINHA";342
"293060 SERROLANDIA";61
"293070 SIMOES FILHO";560
"293075 SITIO DO MATO";36
"293076 SITIO DO QUINTO";38
"293077 SOBRADINHO";104
"293080 SOUTO SOARES";60
"293090 TABOCAS DO BREJO VELHO";35
"293100 TANHACU";87
"293105 TANQUE NOVO";48
"293110 TANQUINHO";47
"293120 TAPEROA";66
"293130 TAPIRAMUTA";44
"293135 TEIXEIRA DE FREITAS";715
"293140 TEODORO SAMPAIO";28
"293150 TEOFILANDIA";96
"293160 TEOLANDIA";67
"293170 TERRA NOVA";50
"293180 TREMEDAL";62
"293190 TUCANO";172
"293200 UAUA";95
"293210 UBAIRA";80
"293220 UBAITABA";107
"293230 UBATA";102
"293240 UIBAI";55
"293245 UMBURANAS";41
"293250 UNA";106
"293260 URANDI";50
"293270 URUCUCA";104
"293280 UTINGA";78
"293290 VALENCA";401
"293300 VALENTE";99
"293305 VARZEA DA ROCA";46
"293310 VARZEA DO POCO";37
"293315 VARZEA NOVA";67
"293317 VARZEDO";50
"293320 VERA CRUZ";230
"293325 VEREDA";21
"293330 VITORIA DA CONQUISTA";1371
"293340 WAGNER";33
"293345 WANDERLEY";34
"293350 WENCESLAU GUIMARAES";111
"293360 XIQUE-XIQUE";189
"Total";59092
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
