 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outros
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";1;1;6;2;-;15;2;-;1;1;-;207;236
"12 Acre";3;2;3;2;1;20;1;1;-;-;-;134;167
"13 Amazonas";7;3;2;3;7;33;3;3;-;-;2;554;617
"14 Roraima";1;-;2;-;1;13;1;1;-;-;-;168;187
"15 Pará";14;21;31;4;9;191;22;10;-;3;5;1386;1696
"16 Amapá";-;1;3;-;1;10;1;2;-;-;-;130;148
"17 Tocantins";1;1;4;4;1;45;4;2;-;-;1;248;311
"21 Maranhão";7;9;18;5;6;133;13;17;-;1;3;692;904
"22 Piauí";3;14;20;5;3;88;6;8;-;1;-;318;466
"23 Ceará";15;27;7;11;5;158;27;16;-;2;4;987;1259
"24 Rio Grande do Norte";4;13;14;2;3;101;10;3;-;1;-;282;433
"25 Paraíba";7;16;21;1;2;91;11;4;1;1;1;408;564
"26 Pernambuco";12;9;33;10;3;207;20;13;-;4;3;1094;1408
"27 Alagoas";4;5;9;4;-;46;4;4;-;-;-;355;431
"28 Sergipe";2;1;6;1;-;23;-;1;-;1;-;75;110
"29 Bahia";12;30;33;15;9;191;20;11;-;10;3;2404;2738
"31 Minas Gerais";35;57;76;52;22;351;52;7;-;9;-;1873;2534
"32 Espírito Santo";7;27;17;4;1;95;10;9;-;3;-;360;533
"33 Rio de Janeiro";35;47;42;2;4;379;106;6;-;5;1;1988;2615
"35 São Paulo";32;150;120;30;7;947;163;37;4;15;4;1890;3399
"41 Paraná";8;27;36;13;10;202;27;10;-;1;1;1127;1462
"42 Santa Catarina";4;36;31;12;4;192;20;2;-;3;1;623;928
"43 Rio Grande do Sul";34;121;90;18;7;308;69;13;-;5;-;1056;1721
"50 Mato Grosso do Sul";4;7;12;11;-;78;11;2;-;-;-;388;513
"51 Mato Grosso";1;13;13;8;1;56;2;2;-;-;-;428;524
"52 Goiás";15;27;30;11;3;180;25;13;-;3;1;796;1104
"53 Distrito Federal";4;4;4;10;2;41;2;2;-;-;-;93;162
"Total";272;669;683;240;112;4194;632;199;6;69;30;20064;27170
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
