 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outros
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";3;6;8;3;-;18;5;1;-;-;1;239;284
"12 Acre";-;1;2;-;2;16;-;-;-;-;-;102;123
"13 Amazonas";6;8;16;4;6;44;7;3;-;2;5;621;722
"14 Roraima";5;5;1;1;-;17;7;2;-;-;2;224;264
"15 Pará";16;17;21;6;6;186;20;4;-;4;3;1283;1566
"16 Amapá";1;1;1;-;-;14;2;-;-;-;-;200;219
"17 Tocantins";1;3;6;4;1;50;7;1;-;-;1;251;325
"21 Maranhão";13;18;42;3;10;165;25;16;-;3;7;858;1160
"22 Piauí";4;11;20;8;3;108;6;5;1;-;2;351;519
"23 Ceará";17;44;16;16;4;115;18;14;-;-;-;1489;1733
"24 Rio Grande do Norte";6;9;12;-;-;68;4;5;-;1;-;277;382
"25 Paraíba";18;20;39;5;2;112;17;5;-;2;4;451;675
"26 Pernambuco";16;16;58;31;4;159;9;6;-;2;-;1286;1587
"27 Alagoas";3;2;11;8;1;31;2;4;-;-;-;445;507
"28 Sergipe";5;5;5;3;-;25;3;2;-;-;-;84;132
"29 Bahia";20;41;55;33;5;192;14;13;-;7;2;2564;2946
"31 Minas Gerais";28;61;88;47;19;336;30;13;-;5;-;1542;2169
"32 Espírito Santo";6;9;19;22;3;93;6;5;-;3;1;508;675
"33 Rio de Janeiro";29;48;61;13;4;327;59;5;-;6;1;1359;1912
"35 São Paulo";52;150;154;28;14;947;155;38;-;16;5;1912;3471
"41 Paraná";15;38;68;36;11;233;32;15;-;6;2;1166;1622
"42 Santa Catarina";2;46;36;10;5;191;21;4;-;2;1;660;978
"43 Rio Grande do Sul";32;107;86;22;6;313;57;9;2;13;1;1121;1769
"50 Mato Grosso do Sul";6;7;5;3;-;99;7;2;-;1;-;414;544
"51 Mato Grosso";1;19;23;12;-;68;13;6;-;1;-;514;657
"52 Goiás";28;28;42;22;6;176;27;17;2;5;-;723;1076
"53 Distrito Federal";6;3;5;5;-;48;6;2;-;-;-;116;191
"Total";339;723;900;345;112;4151;559;197;5;79;38;20760;28208
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
