 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outros
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";-;4;6;-;1;25;2;-;-;1;-;226;265
"12 Acre";-;2;-;1;-;12;1;1;-;-;-;145;162
"13 Amazonas";8;7;5;9;5;23;7;3;-;3;3;530;603
"14 Roraima";3;4;-;-;-;12;1;1;-;1;-;205;227
"15 Pará";21;19;28;10;6;151;27;10;-;2;4;1284;1562
"16 Amapá";1;2;3;-;1;12;4;2;-;-;-;169;194
"17 Tocantins";1;4;2;4;3;32;2;1;-;-;-;231;280
"21 Maranhão";15;22;42;7;6;162;20;14;-;4;1;774;1067
"22 Piauí";8;10;14;10;9;98;7;5;-;2;1;318;482
"23 Ceará";13;32;17;16;2;118;17;14;-;-;2;1475;1706
"24 Rio Grande do Norte";4;5;17;3;2;89;5;5;-;1;1;306;438
"25 Paraíba";8;9;26;2;-;93;8;7;-;2;2;444;601
"26 Pernambuco";15;24;65;42;8;176;14;11;-;1;-;1252;1608
"27 Alagoas";9;5;12;5;-;65;9;4;-;1;-;434;544
"28 Sergipe";-;6;8;6;2;37;5;1;-;1;1;75;142
"29 Bahia";15;33;57;25;3;161;32;14;1;4;1;2495;2841
"31 Minas Gerais";22;58;77;49;11;356;52;16;-;5;-;1535;2181
"32 Espírito Santo";8;10;13;8;1;103;7;6;-;-;-;442;598
"33 Rio de Janeiro";16;38;45;14;4;319;39;10;-;4;3;1466;1958
"35 São Paulo";40;108;150;42;15;790;138;27;-;22;-;1903;3235
"41 Paraná";15;38;50;37;14;223;24;14;-;3;1;1126;1545
"42 Santa Catarina";5;32;22;11;3;179;21;3;-;2;1;627;906
"43 Rio Grande do Sul";31;110;87;24;8;286;48;11;-;12;-;1093;1710
"50 Mato Grosso do Sul";2;6;9;1;2;105;3;3;-;1;-;350;482
"51 Mato Grosso";4;13;13;16;2;63;7;2;-;-;-;485;605
"52 Goiás";16;34;36;25;10;157;20;15;-;3;1;812;1129
"53 Distrito Federal";7;4;9;8;1;32;6;2;-;-;-;115;184
"Total";287;639;813;375;119;3879;526;202;1;75;22;20317;27255
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
