 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outros
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";2;4;2;1;1;19;3;1;-;1;-;192;226
"12 Acre";-;1;2;2;3;12;1;-;-;-;-;172;193
"13 Amazonas";7;10;10;-;1;40;2;1;-;-;2;499;572
"14 Roraima";1;1;5;2;2;17;2;1;-;-;1;225;257
"15 Pará";20;19;28;4;2;177;19;6;-;1;4;1408;1688
"16 Amapá";1;1;2;-;-;5;3;2;-;-;-;147;161
"17 Tocantins";1;-;11;8;3;34;3;2;-;1;-;266;329
"21 Maranhão";9;9;21;5;6;146;13;11;1;2;4;784;1011
"22 Piauí";3;7;10;3;4;88;7;6;-;-;1;295;424
"23 Ceará";13;35;13;12;8;163;40;18;-;5;2;1376;1685
"24 Rio Grande do Norte";5;9;16;4;2;90;6;3;1;1;1;449;587
"25 Paraíba";6;9;16;4;2;135;17;6;-;1;-;446;642
"26 Pernambuco";9;16;23;9;1;182;14;13;1;2;2;1147;1419
"27 Alagoas";1;6;9;5;3;57;4;4;1;-;1;370;461
"28 Sergipe";1;4;10;5;2;19;1;1;-;1;-;105;149
"29 Bahia";15;26;51;18;8;205;33;11;-;4;5;2482;2858
"31 Minas Gerais";23;48;68;58;11;351;47;11;-;10;2;1635;2264
"32 Espírito Santo";4;20;15;3;2;83;4;4;-;2;-;356;493
"33 Rio de Janeiro";27;50;34;5;3;402;114;13;-;11;-;2389;3048
"35 São Paulo";52;118;111;36;8;896;178;27;2;17;5;1891;3341
"41 Paraná";12;50;55;23;6;263;37;9;-;10;1;1194;1660
"42 Santa Catarina";3;28;22;9;2;165;11;6;-;2;1;600;849
"43 Rio Grande do Sul";29;101;90;16;11;310;72;18;-;7;1;1112;1767
"50 Mato Grosso do Sul";3;6;14;8;2;90;12;3;-;-;-;402;540
"51 Mato Grosso";8;5;6;8;3;70;7;4;-;1;-;407;519
"52 Goiás";14;25;24;16;5;180;21;9;-;1;-;789;1084
"53 Distrito Federal";6;6;5;5;-;56;6;1;-;-;-;114;199
"Total";275;614;673;269;101;4255;677;191;6;80;33;21252;28426
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
