 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outros
Período:2023
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";1;2;5;-;1;21;2;-;-;1;-;287;320
"12 Acre";1;1;4;-;-;13;-;-;-;-;-;127;146
"13 Amazonas";17;12;11;7;5;41;8;1;-;-;3;540;645
"14 Roraima";5;2;2;-;-;14;2;1;-;-;2;186;214
"15 Pará";22;25;21;5;5;177;14;7;-;4;5;1325;1610
"16 Amapá";1;2;1;-;-;9;-;-;-;-;1;221;235
"17 Tocantins";-;2;3;8;2;47;5;1;-;-;2;275;345
"21 Maranhão";21;16;53;11;7;180;23;12;1;1;6;863;1194
"22 Piauí";1;14;15;6;3;108;7;7;1;1;-;340;503
"23 Ceará";29;31;13;11;2;168;37;15;1;-;-;1739;2046
"24 Rio Grande do Norte";7;7;11;1;1;82;4;4;-;1;-;258;376
"25 Paraíba";6;13;25;9;1;120;25;8;1;3;-;448;659
"26 Pernambuco";18;23;33;32;7;304;14;9;-;2;2;1108;1552
"27 Alagoas";14;8;31;11;2;111;24;8;-;1;1;477;688
"28 Sergipe";1;3;3;5;-;31;2;2;-;-;-;106;153
"29 Bahia";22;38;51;24;5;218;25;12;3;-;2;2816;3216
"31 Minas Gerais";33;123;91;58;19;380;63;11;3;13;-;1715;2509
"32 Espírito Santo";2;11;17;8;1;100;6;8;2;-;-;502;657
"33 Rio de Janeiro";29;51;47;11;1;397;55;8;1;7;-;1381;1988
"35 São Paulo";57;101;119;24;20;1116;209;43;3;23;2;1947;3664
"41 Paraná";20;37;66;32;13;260;31;10;-;1;1;1261;1732
"42 Santa Catarina";5;31;42;8;4;244;20;10;-;3;1;661;1029
"43 Rio Grande do Sul";27;107;105;37;5;379;66;8;-;11;1;1137;1883
"50 Mato Grosso do Sul";2;14;9;3;1;101;5;1;-;-;1;356;493
"51 Mato Grosso";5;7;19;3;2;77;7;1;-;-;-;511;632
"52 Goiás";21;41;34;19;7;190;31;22;-;2;1;717;1085
"53 Distrito Federal";5;1;6;8;3;59;3;3;-;1;-;148;237
"Total";372;723;837;341;117;4947;688;212;16;75;31;21452;29811
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
