 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Período:2024
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";306;661;337;31;23;1099;449;102;12;72;7;1435;4534
"12 Acre";123;326;79;2;17;439;230;34;6;42;8;518;1824
"13 Amazonas";900;1519;807;72;55;2050;655;291;18;153;43;2768;9331
"14 Roraima";101;243;71;8;5;360;124;49;12;31;17;491;1512
"15 Pará";1505;2724;1417;87;114;5114;1877;733;104;367;90;5720;19852
"16 Amapá";151;236;126;8;6;460;193;37;10;30;11;635;1903
"17 Tocantins";169;560;321;70;35;1098;347;190;12;73;16;1320;4211
"21 Maranhão";1172;2130;1534;187;84;4839;1465;732;134;258;71;4990;17596
"22 Piauí";534;1318;817;194;100;2559;869;415;44;169;42;2541;9602
"23 Ceará";1398;4114;1158;331;153;5878;2322;1095;153;422;62;7997;25083
"24 Rio Grande do Norte";522;1528;642;91;80;2703;802;397;47;152;37;1999;9000
"25 Paraíba";698;1693;925;151;58;3287;1222;452;60;281;30;2743;11600
"26 Pernambuco";1947;4168;2153;366;227;8219;2356;1305;238;566;59;7386;28990
"27 Alagoas";798;1160;793;145;45;3029;982;400;82;206;26;2580;10246
"28 Sergipe";346;952;455;127;42;1418;522;258;57;140;18;1514;5849
"29 Bahia";2672;6114;3564;990;380;11290;3164;1721;267;763;109;12041;43075
"31 Minas Gerais";4460;10313;4126;1189;700;14974;7120;2139;331;1309;140;12333;59134
"32 Espírito Santo";497;2294;1169;181;132;3472;834;452;55;400;30;3133;12649
"33 Rio de Janeiro";4095;9408;4060;337;304;16910;7088;1395;310;1803;140;9601;55451
"35 São Paulo";8070;24676;7554;792;832;39374;18278;4944;829;3157;253;19508;128267
"41 Paraná";1838;6756;2538;678;372;9095;4308;1604;175;630;98;7822;35914
"42 Santa Catarina";1171;4621;1364;127;153;5532;2246;727;78;395;54;4133;20601
"43 Rio Grande do Sul";2530;8279;3148;551;245;9336;4392;1276;122;837;64;6344;37124
"50 Mato Grosso do Sul";490;1442;453;69;66;2553;920;373;79;217;20;1962;8644
"51 Mato Grosso";546;1517;778;112;69;2615;1035;354;24;234;34;3176;10494
"52 Goiás";1392;3166;1490;320;193;5688;2424;1017;127;441;86;4908;21252
"53 Distrito Federal";636;1246;311;49;53;1524;617;295;29;124;18;1334;6236
"Total";39067;103164;42190;7265;4543;164915;66841;22787;3415;13272;1583;130932;599974
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
