 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";255;570;263;21;23;938;341;79;-;52;13;1173;3728
"12 Acre";122;300;137;15;19;458;204;49;1;25;9;649;1988
"13 Amazonas";656;1389;776;42;27;1467;484;233;15;131;80;2695;7995
"14 Roraima";78;178;108;8;6;305;106;30;5;20;11;619;1474
"15 Pará";1440;2249;1454;63;58;4462;1611;529;42;325;112;7020;19365
"16 Amapá";106;193;122;5;10;332;117;46;3;24;14;622;1594
"17 Tocantins";143;464;290;59;15;960;203;127;3;38;9;1289;3600
"21 Maranhão";1058;1782;1496;152;72;4645;1140;571;61;192;94;4322;15585
"22 Piauí";377;1047;656;126;49;2493;663;335;27;95;51;2152;8071
"23 Ceará";1161;3631;999;227;137;5642;1949;954;82;320;113;8452;23667
"24 Rio Grande do Norte";456;1321;779;102;41;2376;628;369;17;121;27;2903;9140
"25 Paraíba";568;1383;928;106;49;3125;821;389;24;221;40;2677;10331
"26 Pernambuco";1679;3688;2091;351;123;7835;1934;1152;96;466;96;7461;26972
"27 Alagoas";545;987;924;120;45;2761;669;385;16;103;26;2460;9041
"28 Sergipe";336;700;425;175;30;1416;419;226;35;141;21;1881;5805
"29 Bahia";2167;5010;2916;554;185;9269;2221;1257;113;621;123;11826;36262
"31 Minas Gerais";3313;9036;3645;1195;393;14200;5266;1760;138;1022;139;10708;50815
"32 Espírito Santo";445;1906;696;138;48;2978;828;446;33;166;41;2865;10590
"33 Rio de Janeiro";4668;8973;4314;339;198;17371;5762;1278;221;1696;176;11544;56540
"35 São Paulo";6241;22755;6793;621;551;36321;14882;4293;393;2448;318;17256;112872
"41 Paraná";1311;6057;2511;483;247;8620;3276;1211;56;471;82;6983;31308
"42 Santa Catarina";909;4021;1069;163;94;4562;1771;529;31;309;35;3621;17114
"43 Rio Grande do Sul";2294;8050;2865;390;217;8859;3673;1153;56;530;61;6531;34679
"50 Mato Grosso do Sul";374;1255;534;125;48;2290;796;297;29;101;31;1652;7532
"51 Mato Grosso";512;1163;729;87;49;2200;705;270;10;175;46;2623;8569
"52 Goiás";1027;2794;1221;241;114;4835;1718;780;44;274;70;5316;18434
"53 Distrito Federal";326;1145;324;133;51;1388;342;302;4;32;24;1265;5336
"Total";32567;92047;39065;6041;2899;152108;52529;19050;1555;10119;1862;128565;538407
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
