 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";212;619;282;27;16;944;349;85;5;48;14;1169;3770
"12 Acre";135;273;104;11;5;412;255;41;2;27;8;582;1855
"13 Amazonas";651;1320;738;35;46;1656;525;236;16;144;67;2829;8263
"14 Roraima";74;197;103;3;13;325;86;35;23;38;11;501;1409
"15 Pará";1466;2337;1424;75;70;4566;1699;514;51;328;130;5902;18562
"16 Amapá";122;221;135;9;9;342;163;43;3;26;5;590;1668
"17 Tocantins";129;434;332;60;32;966;209;160;3;46;15;1200;3586
"21 Maranhão";1097;1817;1491;165;59;4635;1079;574;69;200;85;4026;15297
"22 Piauí";434;1099;710;112;50;2485;691;348;46;119;46;1997;8137
"23 Ceará";1227;3789;1052;229;143;5690;2035;922;101;333;108;6073;21702
"24 Rio Grande do Norte";463;1487;726;84;59;2580;700;326;21;111;32;2352;8941
"25 Paraíba";545;1592;955;83;54;3124;959;351;30;259;45;2270;10267
"26 Pernambuco";1738;3724;2190;350;138;8153;1977;1148;110;441;73;6907;26949
"27 Alagoas";553;993;954;136;41;2869;782;394;39;113;29;2157;9060
"28 Sergipe";366;777;434;179;37;1327;408;198;50;137;12;1731;5656
"29 Bahia";2270;5147;2821;562;206;9106;2414;1286;112;656;112;11506;36198
"31 Minas Gerais";3371;9251;3721;1278;453;14502;5753;1701;145;1041;117;10811;52144
"32 Espírito Santo";473;2060;779;122;63;3064;810;465;23;212;33;2739;10843
"33 Rio de Janeiro";4582;9018;4427;294;195;17578;6148;1255;232;1786;183;10980;56678
"35 São Paulo";6055;23616;6935;652;594;36734;14437;4336;433;2626;294;17148;113860
"41 Paraná";1381;6053;2285;486;244;8396;3419;1219;76;474;72;6826;30931
"42 Santa Catarina";987;4011;1120;158;99;4479;1947;539;44;324;31;3639;17378
"43 Rio Grande do Sul";2353;8303;3007;400;194;8579;3710;1052;61;586;56;6168;34469
"50 Mato Grosso do Sul";410;1246;450;76;35;2280;822;298;30;158;24;1629;7458
"51 Mato Grosso";510;1232;658;111;46;2193;791;242;16;176;44;2509;8528
"52 Goiás";1000;2845;1269;254;105;4814;1856;756;37;318;71;4933;18258
"53 Distrito Federal";370;1130;381;117;47;1337;412;318;10;52;9;1208;5391
"Total";32974;94591;39483;6068;3053;153136;54436;18842;1788;10779;1726;120382;537258
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
