 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação
Período:2022
"Unidade da Federação";"Óbitos_p/Residênc"
"11 Rondônia";6305
"12 Acre";2445
"13 Amazonas";12462
"14 Roraima";2135
"15 Pará";27017
"16 Amapá";2402
"17 Tocantins";5433
"21 Maranhão";22683
"22 Piauí";12611
"23 Ceará";33447
"24 Rio Grande do Norte";12706
"25 Paraíba";16491
"26 Pernambuco";39886
"27 Alagoas";13722
"28 Sergipe";8305
"29 Bahia";59092
"31 Minas Gerais";85190
"32 Espírito Santo";15580
"33 Rio de Janeiro";82716
"35 São Paulo";186324
"41 Paraná";49194
"42 Santa Catarina";28057
"43 Rio Grande do Sul";53036
"50 Mato Grosso do Sul";11785
"51 Mato Grosso";13430
"52 Goiás";27601
"53 Distrito Federal";8007
"Total";838062
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
