 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2023
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";5;8;13;1;2;44;12;1;-;2;-;18;106
"12 Acre";1;1;1;-;-;2;2;-;-;1;-;-;8
"13 Amazonas";3;1;5;-;-;11;7;1;-;-;-;23;51
"14 Roraima";-;-;-;-;-;4;-;-;-;-;1;6;11
"15 Pará";254;95;152;6;11;592;267;61;8;42;6;126;1620
"16 Amapá";3;3;13;-;-;28;20;1;-;2;-;7;77
"17 Tocantins";14;13;17;9;-;91;20;6;-;3;-;16;189
"21 Maranhão";60;42;77;11;3;259;65;20;3;9;3;24;576
"22 Piauí";8;10;9;5;1;37;11;4;1;3;1;8;98
"23 Ceará";137;274;73;18;11;471;198;48;12;22;3;132;1399
"24 Rio Grande do Norte";60;87;93;10;4;264;84;50;3;18;2;46;721
"25 Paraíba";15;26;50;5;1;186;50;12;3;6;-;35;389
"26 Pernambuco";125;130;249;22;13;926;183;85;14;44;5;390;2186
"27 Alagoas";44;58;50;5;3;255;61;23;3;9;1;32;544
"28 Sergipe";4;9;8;3;1;26;8;3;1;4;-;16;83
"29 Bahia";272;315;347;82;22;1109;331;157;30;99;4;264;3032
"31 Minas Gerais";280;467;394;116;49;1461;513;165;21;134;4;449;4053
"32 Espírito Santo";39;152;105;38;5;307;51;26;-;13;3;91;830
"33 Rio de Janeiro";925;828;821;45;31;3145;1172;157;56;405;16;615;8216
"35 São Paulo";568;1309;831;96;65;4002;1291;299;38;257;11;785;9552
"41 Paraná";86;215;205;44;27;679;183;58;5;32;4;178;1716
"42 Santa Catarina";29;67;73;6;6;262;52;11;1;9;-;46;562
"43 Rio Grande do Sul";87;242;155;17;16;451;160;32;2;44;1;60;1267
"50 Mato Grosso do Sul";12;23;18;3;3;134;33;7;1;5;1;25;265
"51 Mato Grosso";54;84;96;12;3;304;76;25;-;16;3;92;765
"52 Goiás";90;143;124;23;6;481;172;78;3;34;5;141;1300
"53 Distrito Federal";57;80;32;13;4;173;60;21;2;18;1;44;505
"Total";3232;4682;4011;590;287;15704;5082;1351;207;1231;75;3669;40121
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
