 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";2;4;12;1;-;22;5;-;-;-;-;9;55
"12 Acre";-;1;-;-;-;1;1;-;-;-;-;-;3
"13 Amazonas";2;1;-;-;-;10;1;1;-;-;-;57;72
"14 Roraima";1;1;1;-;-;1;-;1;-;1;-;3;9
"15 Pará";180;59;128;6;5;463;214;49;4;31;3;144;1286
"16 Amapá";4;4;6;-;-;13;10;2;-;-;-;9;48
"17 Tocantins";3;3;19;1;1;55;7;2;-;1;-;8;100
"21 Maranhão";46;60;73;7;2;202;90;26;4;10;3;39;562
"22 Piauí";4;5;5;2;2;24;6;1;-;2;-;8;59
"23 Ceará";122;223;68;8;7;441;214;66;8;31;5;77;1270
"24 Rio Grande do Norte";27;49;78;6;5;271;69;37;2;16;2;32;594
"25 Paraíba";17;14;55;5;3;163;54;16;1;13;2;10;353
"26 Pernambuco";114;117;207;25;5;907;163;84;3;27;6;381;2039
"27 Alagoas";16;17;49;7;3;209;26;21;-;3;-;4;355
"28 Sergipe";2;5;7;1;1;19;5;1;1;1;-;2;45
"29 Bahia";198;156;275;33;15;767;255;99;17;56;4;240;2115
"31 Minas Gerais";319;593;442;125;37;1674;636;142;8;113;1;476;4566
"32 Espírito Santo";36;54;37;16;2;250;38;14;-;9;7;91;554
"33 Rio de Janeiro";833;584;860;69;38;3407;1263;111;42;343;18;644;8212
"35 São Paulo";383;1058;645;77;38;3411;1008;220;14;157;10;586;7607
"41 Paraná";64;180;186;37;18;620;189;60;3;32;1;137;1527
"42 Santa Catarina";18;50;49;6;4;183;41;1;2;6;-;23;383
"43 Rio Grande do Sul";95;196;143;17;7;416;149;26;2;21;1;76;1149
"50 Mato Grosso do Sul";21;29;12;1;2;151;27;9;-;3;-;22;277
"51 Mato Grosso";36;62;72;14;2;252;65;24;-;6;3;59;595
"52 Goiás";113;126;101;19;9;549;202;74;-;29;4;164;1390
"53 Distrito Federal";26;27;33;8;4;95;36;19;-;4;-;17;269
"Total";2682;3678;3563;491;210;14576;4774;1106;111;915;70;3318;35494
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
