 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";-;5;9;-;1;21;5;-;-;2;-;9;52
"12 Acre";-;-;1;-;-;-;-;-;-;-;-;-;1
"13 Amazonas";3;3;6;-;-;7;2;-;-;-;-;79;100
"14 Roraima";-;-;2;-;-;3;-;-;-;-;-;6;11
"15 Pará";110;43;120;4;5;316;138;34;3;23;2;190;988
"16 Amapá";1;2;2;1;-;13;6;-;-;-;2;12;39
"17 Tocantins";7;9;13;4;-;62;11;1;-;1;2;11;121
"21 Maranhão";50;34;96;2;-;241;103;29;5;13;2;41;616
"22 Piauí";2;9;9;-;2;21;8;2;-;3;1;7;64
"23 Ceará";104;185;58;10;2;414;171;53;4;19;4;109;1133
"24 Rio Grande do Norte";38;27;64;4;2;213;60;33;2;13;1;34;491
"25 Paraíba";9;15;37;1;3;139;35;17;1;5;-;7;269
"26 Pernambuco";134;160;198;39;10;813;175;89;3;44;10;338;2013
"27 Alagoas";12;12;28;5;4;147;15;14;-;1;-;9;247
"28 Sergipe";4;9;11;1;-;28;11;2;-;4;1;5;76
"29 Bahia";196;164;276;31;12;785;230;92;5;47;5;228;2071
"31 Minas Gerais";275;530;428;129;25;1583;484;119;9;98;1;430;4111
"32 Espírito Santo";25;58;52;17;1;210;42;22;-;8;4;100;539
"33 Rio de Janeiro";835;509;837;57;29;3262;1024;159;42;310;15;618;7697
"35 São Paulo";355;1143;659;50;36;3411;1050;222;18;150;9;543;7646
"41 Paraná";68;153;246;38;15;600;230;65;5;28;3;142;1593
"42 Santa Catarina";8;42;41;4;3;179;36;7;2;5;2;30;359
"43 Rio Grande do Sul";87;171;141;19;10;403;137;28;-;24;-;82;1102
"50 Mato Grosso do Sul";16;28;17;2;3;142;34;7;1;-;1;19;270
"51 Mato Grosso";40;52;68;17;3;204;52;16;-;7;-;66;525
"52 Goiás";96;126;116;20;6;521;163;62;1;18;2;178;1309
"53 Distrito Federal";15;30;26;6;1;92;24;21;1;2;1;25;244
"Total";2490;3519;3561;461;173;13830;4246;1094;102;825;68;3318;33687
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
