 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";2;2;10;-;1;24;5;1;-;-;-;13;58
"12 Acre";-;-;-;-;-;1;-;-;-;-;-;-;1
"13 Amazonas";6;7;18;-;-;31;8;1;1;2;-;101;175
"14 Roraima";-;1;-;1;-;2;-;-;-;-;-;2;6
"15 Pará";168;51;154;6;3;451;247;43;6;33;1;130;1293
"16 Amapá";2;2;7;-;-;24;7;1;-;-;-;5;48
"17 Tocantins";4;10;16;2;2;61;10;8;-;4;1;17;135
"21 Maranhão";30;41;80;4;4;206;68;17;2;16;1;39;508
"22 Piauí";3;6;6;1;-;31;3;5;-;3;2;4;64
"23 Ceará";109;221;104;17;10;454;210;50;9;28;7;97;1316
"24 Rio Grande do Norte";44;42;80;5;5;231;64;42;2;13;1;32;561
"25 Paraíba";26;12;50;3;4;160;46;16;1;8;-;20;346
"26 Pernambuco";111;123;282;57;17;676;121;52;4;30;6;376;1855
"27 Alagoas";24;21;46;7;2;161;32;10;-;4;1;17;325
"28 Sergipe";-;7;11;2;-;24;4;-;1;2;-;3;54
"29 Bahia";250;212;418;73;12;1028;230;111;12;80;8;273;2707
"31 Minas Gerais";264;519;466;134;45;1643;475;157;9;106;2;408;4228
"32 Espírito Santo";19;50;100;18;6;319;46;14;1;14;1;90;678
"33 Rio de Janeiro";863;664;1071;49;26;3407;1205;115;28;324;14;646;8412
"35 São Paulo";417;1032;994;114;44;3845;961;251;16;175;22;677;8548
"41 Paraná";73;178;217;28;15;612;154;52;2;31;2;146;1510
"42 Santa Catarina";12;66;56;5;3;189;36;7;-;7;1;22;404
"43 Rio Grande do Sul";68;191;168;17;3;364;97;27;2;25;2;63;1027
"50 Mato Grosso do Sul";14;29;21;2;1;157;32;9;1;7;-;20;293
"51 Mato Grosso";44;101;105;12;3;273;73;20;3;14;1;73;722
"52 Goiás";81;156;141;31;7;447;143;71;2;34;3;171;1287
"53 Distrito Federal";32;51;30;13;1;133;30;33;-;3;1;21;348
"Total";2666;3795;4651;601;214;14954;4307;1113;102;963;77;3466;36909
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
