 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2024
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";7;10;19;3;3;46;24;3;-;2;-;12;129
"12 Acre";-;2;1;-;-;4;2;-;-;1;-;1;11
"13 Amazonas";6;7;5;-;-;25;3;1;-;-;-;26;73
"14 Roraima";-;2;-;-;-;3;1;-;-;-;-;3;9
"15 Pará";254;95;169;8;12;682;317;81;10;55;2;127;1812
"16 Amapá";5;2;7;-;-;27;8;1;-;-;1;9;60
"17 Tocantins";7;13;24;4;1;69;39;7;-;5;-;25;194
"21 Maranhão";73;55;97;12;3;283;72;28;7;9;4;33;676
"22 Piauí";10;37;20;7;-;57;24;10;1;9;-;8;183
"23 Ceará";135;286;118;17;7;482;250;65;9;38;2;137;1546
"24 Rio Grande do Norte";56;83;95;6;5;292;82;44;7;31;5;49;755
"25 Paraíba";28;30;64;6;1;192;65;17;4;14;-;16;437
"26 Pernambuco";142;135;258;32;12;930;183;82;10;46;4;386;2220
"27 Alagoas";84;58;78;13;2;384;101;39;10;23;1;28;821
"28 Sergipe";7;8;8;-;2;19;5;1;-;1;1;12;64
"29 Bahia";280;311;359;58;33;1017;336;149;28;106;4;292;2973
"31 Minas Gerais";415;498;444;123;33;1401;686;132;19;131;6;459;4347
"32 Espírito Santo";37;127;102;11;7;294;55;21;1;20;5;114;794
"33 Rio de Janeiro";803;976;881;47;50;3219;1476;183;61;482;8;701;8887
"35 São Paulo";631;1525;847;91;64;4302;1634;305;51;294;11;892;10647
"41 Paraná";145;224;222;40;10;731;236;75;8;35;3;182;1911
"42 Santa Catarina";42;108;102;5;1;298;76;15;1;10;2;48;708
"43 Rio Grande do Sul";138;280;166;30;10;435;208;30;2;47;3;71;1420
"50 Mato Grosso do Sul";18;20;18;2;3;141;33;10;1;10;-;39;295
"51 Mato Grosso";55;116;92;13;7;314;118;42;-;25;3;95;880
"52 Goiás";142;155;180;30;17;476;224;68;15;42;2;149;1500
"53 Distrito Federal";116;87;47;10;3;220;85;42;1;24;-;37;672
"Total";3636;5250;4423;568;286;16343;6343;1451;246;1460;67;3951;44024
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
