 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Outro estabelecimento de saúde
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";2;9;4;1;1;39;16;-;-;3;2;20;97
"12 Acre";-;-;-;-;-;3;1;-;-;1;-;1;6
"13 Amazonas";4;7;29;1;-;37;17;2;-;2;1;100;200
"14 Roraima";-;1;-;-;1;2;2;-;-;1;-;2;9
"15 Pará";192;60;150;10;9;473;216;51;6;28;3;125;1323
"16 Amapá";4;2;6;-;-;23;7;-;1;-;-;1;44
"17 Tocantins";6;11;20;2;-;79;17;8;1;-;-;11;155
"21 Maranhão";28;40;66;10;2;192;61;13;3;5;5;25;450
"22 Piauí";6;7;9;2;1;28;2;2;-;-;-;9;66
"23 Ceará";121;231;101;20;12;426;191;46;12;30;-;119;1309
"24 Rio Grande do Norte";55;72;95;12;5;275;70;33;6;17;2;30;672
"25 Paraíba";26;22;53;5;-;159;54;15;-;7;1;12;354
"26 Pernambuco";104;100;302;52;16;600;89;50;7;30;11;304;1665
"27 Alagoas";23;37;42;5;7;193;45;18;1;10;-;21;402
"28 Sergipe";5;7;13;5;-;34;6;7;1;4;1;14;97
"29 Bahia";308;234;403;86;19;1093;247;132;17;84;14;312;2949
"31 Minas Gerais";296;635;555;137;60;1719;472;168;15;146;4;445;4652
"32 Espírito Santo";29;81;123;39;13;351;49;15;3;19;3;125;850
"33 Rio de Janeiro";907;673;971;72;33;3710;1325;126;46;372;21;550;8806
"35 São Paulo";663;1420;1304;140;55;4857;1218;352;25;272;22;686;11014
"41 Paraná";127;258;242;45;21;709;229;84;4;22;5;187;1933
"42 Santa Catarina";29;88;94;10;4;222;70;14;1;15;-;37;584
"43 Rio Grande do Sul";123;272;214;30;6;481;175;47;4;30;3;58;1443
"50 Mato Grosso do Sul";22;25;20;4;1;194;37;12;2;6;1;28;352
"51 Mato Grosso";59;60;94;19;2;234;70;17;-;25;4;79;663
"52 Goiás";92;163;145;31;13;549;142;70;3;34;7;169;1418
"53 Distrito Federal";33;73;55;17;3;183;39;27;-;19;-;21;470
"Total";3264;4588;5110;755;284;16865;4867;1309;158;1182;110;3491;41983
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
