 Óbitos por causas evitáveis de 5 a 74 anos - Santa Catarina
Óbitos p/Residênc por Município
Período:2020
"Município";"Óbitos_p/Residênc"
"421340 PONTE SERRADA";50
"421350 PORTO BELO";86
"421360 PORTO UNIAO";127
"421370 POUSO REDONDO";51
"421380 PRAIA GRANDE";32
"421390 PRESIDENTE CASTELLO BRANCO";8
"421400 PRESIDENTE GETULIO";93
"421410 PRESIDENTE NEREU";10
"421415 PRINCESA";9
"421420 QUILOMBO";31
"421430 RANCHO QUEIMADO";15
"421440 RIO DAS ANTAS";27
"421450 RIO DO CAMPO";24
"421460 RIO DO OESTE";32
"421470 RIO DOS CEDROS";37
"421480 RIO DO SUL";250
"421490 RIO FORTUNA";12
"421500 RIO NEGRINHO";170
"421505 RIO RUFINO";10
"421507 RIQUEZA";14
"421510 RODEIO";47
"421520 ROMELANDIA";21
"421530 SALETE";33
"421535 SALTINHO";13
"421540 SALTO VELOSO";20
"421545 SANGAO";55
"421550 SANTA CECILIA";75
"421555 SANTA HELENA";4
"421560 SANTA ROSA DE LIMA";9
"421565 SANTA ROSA DO SUL";46
"421567 SANTA TEREZINHA";26
"421568 SANTA TEREZINHA DO PROGRESSO";15
"421569 SANTIAGO DO SUL";7
"421570 SANTO AMARO DA IMPERATRIZ";99
"421575 SAO BERNARDINO";18
"421580 SAO BENTO DO SUL";314
"421590 SAO BONIFACIO";17
"421600 SAO CARLOS";51
"421605 SAO CRISTOVAO DO SUL";27
"421610 SAO DOMINGOS";30
"421620 SAO FRANCISCO DO SUL";227
"421625 SAO JOAO DO OESTE";24
"421630 SAO JOAO BATISTA";103
"421635 SAO JOAO DO ITAPERIU";14
"421640 SAO JOAO DO SUL";27
"421650 SAO JOAQUIM";123
"421660 SAO JOSE";889
"421670 SAO JOSE DO CEDRO";40
"421680 SAO JOSE DO CERRITO";31
"421690 SAO LOURENCO DO OESTE";38
"421700 SAO LUDGERO";34
"421710 SAO MARTINHO";18
"421715 SAO MIGUEL DA BOA VISTA";5
"421720 SAO MIGUEL DO OESTE";114
"421725 SAO PEDRO DE ALCANTARA";22
"421730 SAUDADES";31
"421740 SCHROEDER";48
"421750 SEARA";48
"421755 SERRA ALTA";6
"421760 SIDEROPOLIS";70
"421770 SOMBRIO";114
"421775 SUL BRASIL";9
"421780 TAIO";75
"421790 TANGARA";31
"421795 TIGRINHOS";3
"421800 TIJUCAS";187
"421810 TIMBE DO SUL";30
"421820 TIMBO";143
"421825 TIMBO GRANDE";42
"421830 TRES BARRAS";84
"421835 TREVISO";11
"421840 TREZE DE MAIO";23
"421850 TREZE TILIAS";20
"421860 TROMBUDO CENTRAL";33
"421870 TUBARAO";478
"421875 TUNAPOLIS";11
"421880 TURVO";46
"421885 UNIAO DO OESTE";5
"421890 URUBICI";51
"421895 URUPEMA";9
"421900 URUSSANGA";99
"421910 VARGEAO";16
"421915 VARGEM";8
"421917 VARGEM BONITA";16
"421920 VIDAL RAMOS";23
"421930 VIDEIRA";169
"421935 VITOR MEIRELES";17
"421940 WITMARSUM";14
"421950 XANXERE";195
"421960 XAVANTINA";6
"421970 XAXIM";116
"421985 ZORTEA";14
"422000 BALNEARIO RINCAO";102
"Total";26747
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
