 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Hospital
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";182;472;238;2;11;688;254;68;2;58;18;358;2351
"12 Acre";118;192;92;6;7;289;158;43;-;13;5;93;1016
"13 Amazonas";612;941;630;21;17;1222;502;182;17;95;67;819;5125
"14 Roraima";89;117;60;4;2;174;64;34;7;15;19;157;742
"15 Pará";1107;1762;1093;19;24;2596;1576;379;52;236;142;1371;10357
"16 Amapá";115;175;108;5;6;236;76;38;-;15;14;175;963
"17 Tocantins";113;312;215;40;10;556;161;116;9;52;16;293;1893
"21 Maranhão";793;1223;1064;67;36;2742;1150;434;57;165;96;1249;9076
"22 Piauí";385;674;440;49;20;1401;532;266;40;113;43;669;4632
"23 Ceará";942;2197;695;109;63;3151;1295;617;113;234;117;1836;11369
"24 Rio Grande do Norte";373;1063;419;49;15;1297;455;213;18;64;29;597;4592
"25 Paraíba";512;1097;604;39;21;1722;710;273;26;191;51;770;6016
"26 Pernambuco";1329;2670;1554;176;96;4372;1517;874;111;360;89;1901;15049
"27 Alagoas";503;757;651;36;8;1575;566;237;29;100;38;711;5211
"28 Sergipe";311;571;296;48;10;821;320;167;47;99;27;589;3306
"29 Bahia";1623;3815;2019;288;74;5903;1659;942;135;459;144;3430;20491
"31 Minas Gerais";2644;7121;2411;394;235;8816;3726;1428;146;870;129;3414;31334
"32 Espírito Santo";434;1598;608;49;28;1783;602;320;28;183;39;980;6652
"33 Rio de Janeiro";3233;7195;2767;109;107;9692;4224;977;204;1129;213;4800;34650
"35 São Paulo";5479;18545;5524;396;388;23176;9335;3580;427;2143;316;7126;76435
"41 Paraná";1172;4728;1336;129;118;5225;2080;1051;82;445;76;2106;18548
"42 Santa Catarina";801;3311;735;56;54;2863;1258;487;41;281;31;1014;10932
"43 Rio Grande do Sul";1841;6524;1994;165;106;5459;2237;931;60;549;64;1461;21391
"50 Mato Grosso do Sul";330;1016;265;17;20;1350;620;222;42;172;16;426;4496
"51 Mato Grosso";400;943;413;33;20;1290;541;202;18;136;51;826;4873
"52 Goiás";687;2150;888;88;58;3020;1223;597;36;229;77;1689;10742
"53 Distrito Federal";299;962;247;39;28;917;372;256;17;57;20;489;3703
"Total";26427;72131;27366;2433;1582;92336;37213;14934;1764;8463;1947;39349;325945
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
