 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Hospital
Período:2023
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";256;577;214;6;18;785;401;98;6;68;11;369;2809
"12 Acre";129;276;50;2;4;252;201;34;2;28;6;84;1068
"13 Amazonas";759;1120;594;21;30;1607;580;257;17;146;57;841;6029
"14 Roraima";116;178;62;-;7;254;116;50;3;51;13;149;999
"15 Pará";1141;2080;870;36;49;2847;1402;541;83;298;79;1384;10810
"16 Amapá";103;211;81;5;5;277;150;23;7;16;10;192;1080
"17 Tocantins";120;452;195;35;16;644;230;143;9;40;13;295;2192
"21 Maranhão";956;1562;868;69;47;2940;1036;549;90;235;78;1276;9706
"22 Piauí";414;879;484;65;42;1468;669;292;44;132;23;699;5211
"23 Ceará";1072;2691;690;95;89;3449;1642;776;100;310;59;1724;12697
"24 Rio Grande do Norte";397;1237;407;25;24;1258;512;269;37;103;25;528;4822
"25 Paraíba";592;1363;512;35;36;1888;835;389;35;233;34;674;6626
"26 Pernambuco";1658;3082;1230;115;108;4769;1701;983;173;443;69;2006;16337
"27 Alagoas";652;887;475;51;18;1925;738;258;55;157;30;741;5987
"28 Sergipe";336;696;289;29;18;934;349;216;33;100;14;650;3664
"29 Bahia";2003;4514;1940;302;131;6539;2210;1105;165;505;98;3291;22803
"31 Minas Gerais";3107;8102;2300;308;327;9096;4932;1669;192;1049;110;3955;35147
"32 Espírito Santo";434;1727;628;87;46;1840;572;422;51;339;22;1027;7195
"33 Rio de Janeiro";3683;7512;2269;89;155;9889;4465;1022;252;1187;160;4646;35329
"35 São Paulo";5956;20753;5024;309;569;24188;12068;4102;609;2639;226;7490;83933
"41 Paraná";1288;5333;1283;112;195;5414;2811;1290;121;476;60;2203;20586
"42 Santa Catarina";912;3863;832;56;93;3201;1717;623;52;309;33;1213;12904
"43 Rio Grande do Sul";1925;6991;1971;169;132;5914;2900;1020;84;629;48;1684;23467
"50 Mato Grosso do Sul";399;1185;303;15;49;1479;807;314;49;207;22;486;5315
"51 Mato Grosso";444;1173;473;34;31;1461;651;281;19;179;40;945;5731
"52 Goiás";778;2572;761;70;107;3397;1674;723;61;289;50;1774;12256
"53 Distrito Federal";238;958;195;23;19;777;404;231;25;74;16;447;3407
"Total";29868;81974;25000;2163;2365;98492;45773;17680;2374;10242;1406;40773;358110
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
