 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Hospital
Período:2024
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";273;579;228;4;7;750;386;91;12;65;7;417;2819
"12 Acre";116;265;68;1;9;300;200;29;6;37;7;117;1155
"13 Amazonas";799;1198;586;19;23;1579;576;258;16;148;36;825;6063
"14 Roraima";92;172;56;2;2;231;108;43;11;30;12;144;903
"15 Pará";1114;2178;897;32;60;2965;1371;553;87;290;81;1538;11166
"16 Amapá";140;207;96;3;3;296;173;30;10;29;10;190;1187
"17 Tocantins";147;469;206;18;18;660;274;154;10;62;15;362;2395
"21 Maranhão";984;1671;929;70;35;2939;1202;544;126;223;62;1346;10131
"22 Piauí";463;936;470;58;37;1391;716;308;41;144;40;758;5362
"23 Ceará";1135;2769;697;101;85;3507;1699;792;131;342;57;1839;13154
"24 Rio Grande do Norte";424;1197;409;42;30;1307;612;282;36;105;29;603;5076
"25 Paraíba";606;1353;529;52;24;1949;965;343;54;249;25;771;6920
"26 Pernambuco";1629;3371;1284;116;113;4676;1876;970;224;471;53;2065;16848
"27 Alagoas";643;906;450;43;20;1734;810;285;69;171;21;714;5866
"28 Sergipe";307;761;258;28;24;957;468;214;56;131;17;594;3815
"29 Bahia";2121;4712;2041;327;171;6898;2469;1301;230;611;103;3404;24388
"31 Minas Gerais";3725;8424;2347;302;346;9187;5789;1789;301;1079;127;4306;37722
"32 Espírito Santo";411;1901;737;73;78;1969;658;370;52;372;24;1071;7716
"33 Rio de Janeiro";3062;7679;2168;71;156;9424;5146;1126;237;1253;122;4555;34999
"35 São Paulo";6981;21240;4994;286;604;24416;14511;4161;762;2728;226;8167;89076
"41 Paraná";1562;5503;1384;137;204;5682;3569;1332;163;547;86;2459;22628
"42 Santa Catarina";1039;3905;800;46;102;3373;1890;635;76;362;52;1159;13439
"43 Rio Grande do Sul";2158;7023;2020;173;149;6194;3632;1112;115;727;57;1810;25170
"50 Mato Grosso do Sul";438;1267;343;17;39;1505;814;318;74;192;20;580;5607
"51 Mato Grosso";447;1242;477;39;40;1530;814;277;23;202;28;1013;6132
"52 Goiás";1121;2546;927;86;104;3483;1949;797;102;379;79;1823;13396
"53 Distrito Federal";476;1091;206;11;20;815;479;201;27;92;17;523;3958
"Total";32413;84565;25607;2157;2503;99717;53156;18315;3051;11041;1413;43153;377091
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
