 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Hospital
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";243;496;257;5;11;700;267;61;-;67;42;346;2495
"12 Acre";137;230;94;5;4;320;278;32;1;25;15;83;1224
"13 Amazonas";721;917;596;24;23;1392;593;209;24;115;116;958;5688
"14 Roraima";105;148;68;3;4;197;63;34;5;21;36;153;837
"15 Pará";1110;1837;892;19;21;2651;1268;438;56;240;167;1293;9992
"16 Amapá";90;205;122;5;6;237;135;44;3;22;17;211;1097
"17 Tocantins";143;377;217;30;11;595;200;142;3;44;44;323;2129
"21 Maranhão";813;1364;998;70;25;2794;997;459;65;164;146;1284;9179
"22 Piauí";385;731;393;49;22;1436;575;248;40;85;62;643;4669
"23 Ceará";992;2229;668;92;65;3390;1272;690;100;280;141;1649;11568
"24 Rio Grande do Norte";396;998;414;35;17;1238;465;245;23;77;68;541;4517
"25 Paraíba";604;1120;591;42;35;1828;772;266;24;193;66;742;6283
"26 Pernambuco";1646;2907;1653;184;94;4729;1630;859;177;419;102;1719;16119
"27 Alagoas";538;794;586;51;23;1766;541;201;39;121;55;614;5329
"28 Sergipe";290;524;294;23;9;942;274;176;37;89;28;592;3278
"29 Bahia";1791;3850;2016;264;84;6150;1689;1090;131;487;193;3387;21132
"31 Minas Gerais";2730;7175;2545;389;210;9223;3777;1595;161;869;239;3831;32744
"32 Espírito Santo";397;1534;706;92;30;1718;499;357;37;229;58;1037;6694
"33 Rio de Janeiro";3500;7149;2771;114;113;10203;4555;1035;219;1222;340;4961;36182
"35 São Paulo";5873;18950;5608;376;431;24086;10243;3788;535;2453;481;7246;80070
"41 Paraná";1244;4865;1379;165;121;5477;2220;1111;80;465;191;2316;19634
"42 Santa Catarina";1011;3383;811;68;64;3123;1327;517;39;290;96;1126;11855
"43 Rio Grande do Sul";2009;6586;2115;179;107;5977;2394;1053;71;687;120;1539;22837
"50 Mato Grosso do Sul";386;1066;297;30;25;1450;660;251;39;153;61;460;4878
"51 Mato Grosso";422;942;430;32;23;1412;495;229;13;138;80;892;5108
"52 Goiás";784;2169;802;93;59;3344;1375;632;42;238;128;1747;11413
"53 Distrito Federal";250;922;234;37;27;898;314;233;14;67;38;448;3482
"Total";28610;73468;27557;2476;1664;97276;38878;15995;1978;9260;3130;40141;340433
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
