 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Hospital
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";241;485;201;4;7;667;304;72;-;47;12;345;2385
"12 Acre";116;238;105;6;3;298;180;44;1;24;9;115;1139
"13 Amazonas";589;1071;677;31;19;1184;442;215;15;126;72;864;5305
"14 Roraima";71;149;84;2;2;219;94;22;5;18;9;171;846
"15 Pará";1201;1803;991;24;32;2824;1289;410;37;277;105;1663;10656
"16 Amapá";99;166;91;4;3;234;100;38;3;24;12;201;975
"17 Tocantins";122;390;201;21;6;570;157;108;3;32;6;283;1899
"21 Maranhão";899;1352;934;78;32;2684;888;415;51;157;83;1367;8940
"22 Piauí";327;746;448;36;17;1441;560;260;26;80;39;652;4632
"23 Ceará";911;2256;636;78;80;3331;1415;662;77;270;98;1904;11718
"24 Rio Grande do Norte";372;1058;521;45;18;1332;487;255;14;96;23;701;4922
"25 Paraíba";484;1085;614;47;21;1879;647;287;22;201;37;716;6040
"26 Pernambuco";1374;2894;1331;139;67;4693;1442;874;90;386;78;1881;15249
"27 Alagoas";475;761;643;49;21;1827;566;283;15;95;21;664;5420
"28 Sergipe";313;512;275;47;10;988;363;188;35;128;19;612;3490
"29 Bahia";1753;3922;1957;244;98;6069;1687;992;105;536;109;3488;20960
"31 Minas Gerais";2820;7326;2231;403;188;8854;4298;1479;127;842;131;3462;32161
"32 Espírito Santo";389;1595;488;61;28;1822;678;354;33;151;37;978;6614
"33 Rio de Janeiro";3654;7866;2732;145;118;10426;4144;1044;177;1334;152;5221;37013
"35 São Paulo";5495;19858;4784;295;392;24350;12178;3731;372;2192;294;7224;81165
"41 Paraná";1147;4915;1430;133;125;5381;2632;971;51;408;73;2168;19434
"42 Santa Catarina";856;3470;702;60;55;2902;1522;460;27;288;31;984;11357
"43 Rio Grande do Sul";2032;7007;1994;150;129;6077;3113;1012;54;448;53;1691;23760
"50 Mato Grosso do Sul";324;1084;384;46;25;1319;667;245;28;95;25;404;4646
"51 Mato Grosso";423;974;504;27;29;1407;597;220;10;157;46;834;5228
"52 Goiás";789;2247;798;78;48;2937;1341;581;42;245;67;1661;10834
"53 Distrito Federal";266;1015;228;46;29;883;266;256;3;30;23;521;3566
"Total";27542;76245;25984;2299;1602;96598;42057;15478;1423;8687;1664;40775;340354
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
