 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Causas evitáveis
Período:2022
"Unidade da Federação";"1.1. Reduzíveis pelas ações de imunoprevenção";"1.2. Reduz ações prom prev contr atenç doenç infec";"1.3. Reduz ações prom prev contr atenç doe ñ trans";"1.4. Reduz ações prev contr atenção causas matern";"1.5. Reduz ações prom prev atenç causas externas";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"11 Rondônia";6;468;2405;11;1463;423;1529;6305
"12 Acre";10;240;985;5;487;162;556;2445
"13 Amazonas";23;1354;4713;55;2970;904;2443;12462
"14 Roraima";5;243;813;21;558;70;425;2135
"15 Pará";21;3232;10120;109;5867;1755;5913;27017
"16 Amapá";2;279;844;12;635;115;515;2402
"17 Tocantins";5;421;2398;21;1330;122;1136;5433
"21 Maranhão";25;2136;10188;85;4350;1096;4803;22683
"22 Piauí";7;1192;5746;53;2295;525;2793;12611
"23 Ceará";22;3326;13705;79;7320;716;8279;33447
"24 Rio Grande do Norte";5;1183;5773;35;2225;431;3054;12706
"25 Paraíba";2;1780;7230;24;2699;811;3945;16491
"26 Pernambuco";31;4055;16646;73;7148;1731;10202;39886
"27 Alagoas";5;1499;6132;35;2241;872;2938;13722
"28 Sergipe";6;800;3385;33;1640;541;1900;8305
"29 Bahia";26;4694;23850;109;12029;5056;13328;59092
"31 Minas Gerais";44;7602;36586;125;11238;6161;23434;85190
"32 Espírito Santo";10;1176;7399;35;3063;174;3723;15580
"33 Rio de Janeiro";46;10183;34541;161;9833;7677;20275;82716
"35 São Paulo";131;18585;85526;241;18536;8447;54858;186324
"41 Paraná";20;3859;23028;69;7975;1232;13011;49194
"42 Santa Catarina";19;2346;13162;41;3922;779;7788;28057
"43 Rio Grande do Sul";23;4383;26044;67;6274;2625;13620;53036
"50 Mato Grosso do Sul";9;1268;5247;29;1951;337;2944;11785
"51 Mato Grosso";8;978;5528;34;3018;630;3234;13430
"52 Goiás";15;2501;12401;57;4934;418;7275;27601
"53 Distrito Federal";6;681;3525;21;1240;255;2279;8007
"Total";532;80464;367920;1640;127241;44065;216200;838062
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
