"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2020"
"1100015";"Alta Floresta D'Oeste (RO)";"570241,6"
"1100023";"Ariquemes (RO)";"2817330,9"
"1100031";"Cabixi (RO)";"167152,8"
"1100049";"Cacoal (RO)";"2518845,0"
"1100056";"Cerejeiras (RO)";"600630,3"
"1100064";"Colorado do Oeste (RO)";"366921,9"
"1100072";"Corumbiara (RO)";"268353,1"
"1100080";"Costa Marques (RO)";"261943,8"
"1100098";"Espigão D'Oeste (RO)";"666320,6"
"1100106";"Guajará-Mirim (RO)";"984613,6"
"1100114";"Jaru (RO)";"1665151,5"
"1100122";"Ji-Paraná (RO)";"4057176,0"
"1100130";"Machadinho D'Oeste (RO)";"700187,5"
"1100148";"Nova Brasilândia D'Oeste (RO)";"403372,7"
"1100155";"Ouro Preto do Oeste (RO)";"885131,8"
"1100189";"Pimenta Bueno (RO)";"1361159,7"
"1100205";"Porto Velho (RO)";"19446740,5"
"1100254";"Presidente Médici (RO)";"464089,8"
"1100262";"Rio Crespo (RO)";"133556,7"
"1100288";"Rolim de Moura (RO)";"1403498,9"
"1100296";"Santa Luzia D'Oeste (RO)";"156764,6"
"1100304";"Vilhena (RO)";"3152560,0"
"1100320";"São Miguel do Guaporé (RO)";"730643,4"
"1100338";"Nova Mamoré (RO)";"601842,8"
"1100346";"Alvorada D'Oeste (RO)";"289496,8"
"1100379";"Alto Alegre dos Parecis (RO)";"324518,7"
"1100403";"Alto Paraíso (RO)";"396387,4"
"1100452";"Buritis (RO)";"781528,5"
"1100502";"Novo Horizonte do Oeste (RO)";"185087,8"
"1100601";"Cacaulândia (RO)";"169146,0"
"1100700";"Campo Novo de Rondônia (RO)";"331894,2"
"1100809";"Candeias do Jamari (RO)";"562988,9"
"1100908";"Castanheiras (RO)";"80395,0"
"1100924";"Chupinguaia (RO)";"374749,6"
"1100940";"Cujubim (RO)";"431816,3"
"1101005";"Governador Jorge Teixeira (RO)";"200565,1"
"1101104";"Itapuã do Oeste (RO)";"192749,6"
"1101203";"Ministro Andreazza (RO)";"224912,4"
"1101302";"Mirante da Serra (RO)";"231661,5"
"1101401";"Monte Negro (RO)";"340930,7"
"1101435";"Nova União (RO)";"128791,1"
"1101450";"Parecis (RO)";"120814,6"
"1101468";"Pimenteiras do Oeste (RO)";"148822,8"
"1101476";"Primavera de Rondônia (RO)";"66464,6"
"1101484";"São Felipe D'Oeste (RO)";"102279,1"
"1101492";"São Francisco do Guaporé (RO)";"397745,2"
"1101500";"Seringueiras (RO)";"250585,6"
"1101559";"Teixeirópolis (RO)";"97349,4"
"1101609";"Theobroma (RO)";"213106,2"
"1101708";"Urupá (RO)";"227775,0"
"1101757";"Vale do Anari (RO)";"180701,6"
"1101807";"Vale do Paraíso (RO)";"161248,3"
"1200013";"Acrelândia (AC)";"291581,7"
"1200054";"Assis Brasil (AC)";"96315,3"
"1200104";"Brasiléia (AC)";"488071,5"
"1200138";"Bujari (AC)";"179175,4"
"1200179";"Capixaba (AC)";"144676,7"
"1200203";"Cruzeiro do Sul (AC)";"1793428,2"
"1200252";"Epitaciolândia (AC)";"433585,1"
"1200302";"Feijó (AC)";"386502,3"
"1200328";"Jordão (AC)";"82866,9"
"1200336";"Mâncio Lima (AC)";"215661,6"
"1200344";"Manoel Urbano (AC)";"138414,3"
"1200351";"Marechal Thaumaturgo (AC)";"209775,1"
"1200385";"Plácido de Castro (AC)";"267419,7"
"1200393";"Porto Walter (AC)";"129394,3"
"1200401";"Rio Branco (AC)";"9362488,1"
"1200427";"Rodrigues Alves (AC)";"202059,1"
"1200435";"Santa Rosa do Purus (AC)";"83423,7"
"1200450";"Senador Guiomard (AC)";"349736,5"
"1200500";"Sena Madureira (AC)";"575263,8"
"1200609";"Tarauacá (AC)";"511369,1"
"1200708";"Xapuri (AC)";"292281,0"
"1200807";"Porto Acre (AC)";"242881,4"
"1300029";"Alvarães (AM)";"194561,0"
"1300060";"Amaturá (AM)";"101934,4"
"1300086";"Anamã (AM)";"129933,4"
"1300102";"Anori (AM)";"215118,9"
"1300144";"Apuí (AM)";"271929,5"
"1300201";"Atalaia do Norte (AM)";"172713,0"
"1300300";"Autazes (AM)";"446598,9"
"1300409";"Barcelos (AM)";"208482,2"
"1300508";"Barreirinha (AM)";"313547,4"
"1300607";"Benjamin Constant (AM)";"349346,7"
"1300631";"Beruri (AM)";"182502,5"
"1300680";"Boa Vista do Ramos (AM)";"161504,7"
"1300706";"Boca do Acre (AM)";"475574,7"
"1300805";"Borba (AM)";"361457,2"
"1300839";"Caapiranga (AM)";"170630,0"
"1300904";"Canutama (AM)";"133365,6"
"1301001";"Carauari (AM)";"358945,4"
"1301100";"Careiro (AM)";"363329,7"
"1301159";"Careiro da Várzea (AM)";"374100,6"
"1301209";"Coari (AM)";"1923264,8"
"1301308";"Codajás (AM)";"498996,1"
"1301407";"Eirunepé (AM)";"502984,0"
"1301506";"Envira (AM)";"178128,3"
"1301605";"Fonte Boa (AM)";"197036,4"
"1301654";"Guajará (AM)";"147398,3"
"1301704";"Humaitá (AM)";"780339,4"
"1301803";"Ipixuna (AM)";"193669,5"
"1301852";"Iranduba (AM)";"727697,3"
"1301902";"Itacoatiara (AM)";"2273503,7"
"1301951";"Itamarati (AM)";"107486,6"
"1302009";"Itapiranga (AM)";"134332,6"
"1302108";"Japurá (AM)";"63113,8"
"1302207";"Juruá (AM)";"122251,0"
"1302306";"Jutaí (AM)";"252816,8"
"1302405";"Lábrea (AM)";"556266,8"
"1302504";"Manacapuru (AM)";"1432216,9"
"1302553";"Manaquiri (AM)";"274499,0"
"1302603";"Manaus (AM)";"91773536,2"
"1302702";"Manicoré (AM)";"621102,3"
"1302801";"Maraã (AM)";"148824,4"
"1302900";"Maués (AM)";"565974,8"
"1303007";"Nhamundá (AM)";"185693,6"
"1303106";"Nova Olinda do Norte (AM)";"293887,4"
"1303205";"Novo Airão (AM)";"172050,7"
"1303304";"Novo Aripuanã (AM)";"219411,6"
"1303403";"Parintins (AM)";"1320369,3"
"1303502";"Pauini (AM)";"175059,0"
"1303536";"Presidente Figueiredo (AM)";"832242,8"
"1303569";"Rio Preto da Eva (AM)";"374196,3"
"1303601";"Santa Isabel do Rio Negro (AM)";"157255,8"
"1303700";"Santo Antônio do Içá (AM)";"208637,3"
"1303809";"São Gabriel da Cachoeira (AM)";"376603,1"
"1303908";"São Paulo de Olivença (AM)";"302084,7"
"1303957";"São Sebastião do Uatumã (AM)";"127894,6"
"1304005";"Silves (AM)";"133792,9"
"1304062";"Tabatinga (AM)";"652925,7"
"1304104";"Tapauá (AM)";"218671,7"
"1304203";"Tefé (AM)";"941045,6"
"1304237";"Tonantins (AM)";"158633,0"
"1304260";"Uarini (AM)";"205138,2"
"1304302";"Urucará (AM)";"306779,2"
"1304401";"Urucurituba (AM)";"195752,0"
"1400027";"Amajari (RR)";"198106,9"
"1400050";"Alto Alegre (RR)";"409619,4"
"1400100";"Boa Vista (RR)";"11828925,8"
"1400159";"Bonfim (RR)";"416439,9"
"1400175";"Cantá (RR)";"325083,9"
"1400209";"Caracaraí (RR)";"410236,0"
"1400233";"Caroebe (RR)";"227485,4"
"1400282";"Iracema (RR)";"182150,6"
"1400308";"Mucajaí (RR)";"348377,2"
"1400407";"Normandia (RR)";"194764,3"
"1400456";"Pacaraima (RR)";"290184,4"
"1400472";"Rorainópolis (RR)";"636429,2"
"1400506";"São João da Baliza (RR)";"262115,0"
"1400605";"São Luiz (RR)";"165075,3"
"1400704";"Uiramutã (RR)";"129282,4"
"1500107";"Abaetetuba (PA)";"1659692,6"
"1500131";"Abel Figueiredo (PA)";"95862,8"
"1500206";"Acará (PA)";"881811,8"
"1500305";"Afuá (PA)";"438581,6"
"1500347";"Água Azul do Norte (PA)";"531634,7"
"1500404";"Alenquer (PA)";"692396,9"
"1500503";"Almeirim (PA)";"627559,6"
"1500602";"Altamira (PA)";"2559967,7"
"1500701";"Anajás (PA)";"228956,2"
"1500800";"Ananindeua (PA)";"8117175,4"
"1500859";"Anapu (PA)";"522861,3"
"1500909";"Augusto Corrêa (PA)";"366358,4"
"1500958";"Aurora do Pará (PA)";"267914,7"
"1501006";"Aveiro (PA)";"138887,2"
"1501105";"Bagre (PA)";"233042,3"
"1501204";"Baião (PA)";"616015,9"
"1501253";"Bannach (PA)";"100723,2"
"1501303";"Barcarena (PA)";"7433645,3"
"1501402";"Belém (PA)";"30798555,9"
"1501451";"Belterra (PA)";"186769,0"
"1501501";"Benevides (PA)";"1677587,5"
"1501576";"Bom Jesus do Tocantins (PA)";"208137,9"
"1501600";"Bonito (PA)";"189753,2"
"1501709";"Bragança (PA)";"1379842,8"
"1501725";"Brasil Novo (PA)";"322791,0"
"1501758";"Brejo Grande do Araguaia (PA)";"88712,2"
"1501782";"Breu Branco (PA)";"688973,9"
"1501808";"Breves (PA)";"849150,0"
"1501907";"Bujaru (PA)";"488650,0"
"1501956";"Cachoeira do Piriá (PA)";"215937,3"
"1502004";"Cachoeira do Arari (PA)";"230594,6"
"1502103";"Cametá (PA)";"1334181,0"
"1502152";"Canaã dos Carajás (PA)";"22503439,2"
"1502202";"Capanema (PA)";"1230988,5"
"1502301";"Capitão Poço (PA)";"705899,9"
"1502400";"Castanhal (PA)";"4300301,2"
"1502509";"Chaves (PA)";"218466,6"
"1502608";"Colares (PA)";"93143,6"
"1502707";"Conceição do Araguaia (PA)";"622866,9"
"1502756";"Concórdia do Pará (PA)";"322761,9"
"1502764";"Cumaru do Norte (PA)";"408488,8"
"1502772";"Curionópolis (PA)";"644776,6"
"1502806";"Curralinho (PA)";"267226,1"
"1502855";"Curuá (PA)";"140327,5"
"1502905";"Curuçá (PA)";"330620,8"
"1502939";"Dom Eliseu (PA)";"783666,7"
"1502954";"Eldorado do Carajás (PA)";"521577,9"
"1503002";"Faro (PA)";"63591,2"
"1503044";"Floresta do Araguaia (PA)";"414579,7"
"1503077";"Garrafão do Norte (PA)";"256719,2"
"1503093";"Goianésia do Pará (PA)";"372710,7"
"1503101";"Gurupá (PA)";"294869,9"
"1503200";"Igarapé-Açu (PA)";"379664,1"
