 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"11 Rondônia";4056;1033;35;421;57;101;-;1;1199;377;241;6;33;156;46;-;9;402;1356;9529
"12 Acre";1074;403;27;135;23;45;-;-;501;332;103;4;5;80;15;-;4;314;429;3494
"13 Amazonas";7509;2005;90;927;94;180;1;2;2132;936;591;42;78;236;127;-;37;1191;3071;19249
"14 Roraima";1100;335;14;128;8;32;-;1;383;133;116;10;15;44;40;-;3;69;585;3016
"15 Pará";9000;3849;175;1627;167;395;-;3;5474;2134;1349;104;103;683;186;1;60;1865;5615;32790
"16 Amapá";917;383;13;179;14;47;-;-;434;169;123;8;9;59;19;-;-;127;738;3239
"17 Tocantins";2053;856;21;377;124;105;-;1;1238;300;344;7;11;90;46;-;10;139;1339;7061
"21 Maranhão";6223;3210;134;1893;269;330;-;4;5410;1539;1353;111;77;474;166;7;46;1042;4565;26853
"22 Piauí";3377;1995;76;825;201;251;-;1;2951;777;710;53;53;220;68;1;31;594;2337;14521
"23 Ceará";11814;6114;155;1418;540;705;-;4;7179;2187;1983;181;124;681;146;-;66;1065;7387;41749
"24 Rio Grande do Norte";3940;2342;74;797;156;232;-;1;2911;769;768;60;80;240;71;1;27;479;2308;15256
"25 Paraíba";4799;2800;67;1253;216;269;-;-;3688;1174;917;71;42;411;79;4;46;796;2628;19260
"26 Pernambuco";10694;6457;186;3208;1081;749;-;3;8707;3576;2405;270;185;952;119;-;102;2056;7007;47757
"27 Alagoas";3726;1929;64;1057;240;184;1;3;3289;781;832;69;53;267;58;2;20;894;2229;15698
"28 Sergipe";2863;1218;68;555;238;164;-;2;1757;382;475;53;24;211;33;-;18;552;1581;10194
"29 Bahia";14064;9154;390;4004;1164;948;3;5;11823;2925;3274;238;194;1201;217;1;93;5772;12281;67751
"31 Minas Gerais";33420;16554;466;5100;2116;1883;1;10;18684;5880;5020;334;434;2328;248;6;184;6337;10905;109910
"32 Espírito Santo";5470;2952;49;1233;380;369;-;1;3732;745;839;71;68;356;64;1;42;131;3016;19519
"33 Rio de Janeiro";32908;14784;601;5214;902;1270;2;13;21116;7534;3644;494;301;2814;368;2;139;9782;10153;112041
"35 São Paulo";88885;38625;870;10531;2024;3833;2;20;48726;16335;11619;932;800;5016;526;10;380;11381;18103;258618
"41 Paraná";26005;10234;187;2969;1154;1194;-;5;10853;3320;2977;137;200;986;203;2;104;1378;7612;69520
"42 Santa Catarina";11753;6698;96;1552;351;599;1;6;6419;1821;1427;72;97;550;103;-;68;787;3857;36257
"43 Rio Grande do Sul";21280;12698;145;3588;871;1172;-;4;10536;3366;2477;170;181;1113;128;18;132;2647;6144;66670
"50 Mato Grosso do Sul";5774;2079;54;516;90;221;1;2;3099;874;657;63;55;280;63;-;22;366;1833;16049
"51 Mato Grosso";7754;2117;68;840;221;218;-;1;2712;732;663;29;41;324;87;-;25;757;2853;19442
"52 Goiás";14736;4824;130;1591;480;570;-;1;6827;1895;1862;76;115;646;140;2;65;379;5002;39341
"53 Distrito Federal";4632;1858;51;487;213;201;-;-;1781;453;573;20;41;151;41;-;35;236;1216;11989
"Total";339826;157506;4306;52425;13394;16267;12;94;193561;61446;47342;3685;3419;20569;3407;58;1768;51538;126150;1096773
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
