 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Domicílio
Período:2022
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";10;108;86;16;6;229;30;5;1;5;-;262;758
"12 Acre";8;57;20;2;4;109;10;10;-;2;-;117;339
"13 Amazonas";68;306;158;34;28;397;85;24;-;6;5;428;1539
"14 Roraima";13;44;34;4;4;91;10;3;1;4;2;84;294
"15 Pará";135;411;359;27;43;1144;157;95;3;16;7;809;3206
"16 Amapá";6;28;37;5;2;82;8;5;-;1;1;125;300
"17 Tocantins";16;87;84;41;13;326;35;25;-;6;-;213;846
"21 Maranhão";96;393;477;90;33;1531;143;120;7;18;1;727;3636
"22 Piauí";62;346;307;93;30;1034;93;107;1;9;2;436;2520
"23 Ceará";151;1024;381;187;75;1771;270;224;5;29;3;1134;5254
"24 Rio Grande do Norte";40;238;174;49;34;916;98;88;1;6;5;412;2061
"25 Paraíba";68;299;401;94;25;1061;146;96;2;7;-;449;2648
"26 Pernambuco";119;699;784;352;88;1966;192;164;9;25;4;1021;5423
"27 Alagoas";60;190;297;105;29;876;78;71;1;10;1;293;2011
"28 Sergipe";33;143;193;103;34;424;67;45;1;6;4;260;1313
"29 Bahia";246;1032;1031;480;139;2777;336;250;6;44;5;1468;7814
"31 Minas Gerais";235;1372;1298;709;231;4021;501;224;2;69;6;2150;10818
"32 Espírito Santo";41;235;220;114;34;1009;72;57;1;13;2;404;2202
"33 Rio de Janeiro";187;695;849;232;99;3680;291;65;5;45;2;962;7112
"35 São Paulo";420;2060;1863;404;161;9463;1623;467;5;135;7;3481;20089
"41 Paraná";103;969;921;421;143;2699;466;195;4;40;2;1502;7465
"42 Santa Catarina";60;658;407;79;42;1529;215;68;-;18;2;913;3991
"43 Rio Grande do Sul";155;931;886;263;78;2387;447;110;4;32;5;1574;6872
"50 Mato Grosso do Sul";32;140;118;31;20;764;80;44;2;10;3;415;1659
"51 Mato Grosso";32;204;164;57;17;588;94;51;1;6;1;476;1691
"52 Goiás";101;434;305;154;63;1419;195;168;-;17;3;820;3679
"53 Distrito Federal";30;100;101;62;21;321;53;43;-;6;-;247;984
"Total";2527;13203;11955;4208;1496;42614;5795;2824;62;585;73;21182;106524
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
