 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Domicílio
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";12;73;46;15;13;213;29;6;-;2;1;203;613
"12 Acre";6;61;24;7;11;129;23;4;-;1;-;142;408
"13 Amazonas";56;302;82;10;7;222;38;17;-;5;6;363;1108
"14 Roraima";6;28;15;2;2;61;10;6;-;2;1;86;219
"15 Pará";100;378;301;28;17;1050;154;69;2;24;1;935;3059
"16 Amapá";5;23;25;-;7;78;8;6;-;-;-;87;239
"17 Tocantins";12;63;60;24;6;268;27;14;-;4;1;216;695
"21 Maranhão";93;384;418;60;32;1449;133;106;2;20;1;602;3300
"22 Piauí";43;279;179;79;23;881;83;60;1;12;8;373;2021
"23 Ceará";127;1146;275;118;44;1608;300;208;1;24;8;1218;5077
"24 Rio Grande do Norte";38;226;162;46;19;671;70;73;-;11;2;461;1779
"25 Paraíba";62;272;253;52;23;911;117;76;1;14;2;317;2100
"26 Pernambuco";154;607;517;150;45;1994;289;170;1;34;5;912;4878
"27 Alagoas";55;204;236;60;16;680;82;78;-;6;1;274;1692
"28 Sergipe";17;175;126;116;17;345;41;33;-;8;-;310;1188
"29 Bahia";186;889;598;236;61;2043;242;150;3;30;3;1408;5849
"31 Minas Gerais";183;1115;874;562;163;3200;410;146;2;68;5;1732;8460
"32 Espírito Santo";24;226;136;51;17;803;93;62;-;5;-;399;1816
"33 Rio de Janeiro";146;543;696;128;46;3154;464;61;2;41;7;820;6108
"35 São Paulo";316;1626;1204;229;114;7298;1386;296;1;85;10;2864;15429
"41 Paraná";79;928;741;258;94;2234;356;157;-;25;5;1199;6076
"42 Santa Catarina";39;475;295;81;32;1250;191;54;2;12;-;771;3202
"43 Rio Grande do Sul";135;761;615;185;64;1941;333;91;2;51;7;1375;5560
"50 Mato Grosso do Sul";24;132;111;60;16;694;78;38;-;5;5;290;1453
"51 Mato Grosso";38;129;141;33;13;480;42;29;-;8;-;397;1310
"52 Goiás";121;392;274;118;52;1118;188;120;-;10;1;800;3194
"53 Distrito Federal";38;93;62;72;20;336;41;24;-;-;-;184;870
"Total";2115;11530;8466;2780;974;35111;5228;2154;20;507;80;18738;87703
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
