 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Domicílio
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";17;104;94;9;9;239;22;6;-;7;1;238;746
"12 Acre";8;46;18;3;6;84;18;5;-;1;-;163;352
"13 Amazonas";71;311;209;28;17;391;66;29;2;9;7;430;1570
"14 Roraima";9;56;30;2;6;91;11;4;1;2;1;99;312
"15 Pará";156;451;455;45;37;1395;204;73;1;22;6;807;3652
"16 Amapá";9;40;31;9;6;100;13;10;1;2;-;115;336
"17 Tocantins";19;102;101;28;17;326;30;26;-;2;1;218;870
"21 Maranhão";107;430;609;80;32;1724;155;145;4;16;1;780;4083
"22 Piauí";40;340;269;83;43;1044;98;93;4;13;-;376;2403
"23 Ceará";148;1233;429;216;60;1654;244;215;8;35;6;1125;5373
"24 Rio Grande do Norte";48;296;230;61;41;907;64;96;1;15;2;448;2209
"25 Paraíba";50;386;354;74;38;1028;101;86;-;14;1;361;2493
"26 Pernambuco";156;727;898;426;93;2006;188;187;10;36;4;1042;5773
"27 Alagoas";73;225;343;122;36;931;87;130;4;11;1;278;2241
"28 Sergipe";33;224;152;116;20;472;41;51;4;5;5;278;1401
"29 Bahia";225;1111;993;425;119;2791;273;246;4;50;3;1591;7831
"31 Minas Gerais";236;1534;1140;687;200;3778;460;188;3;62;4;1824;10116
"32 Espírito Santo";34;264;216;98;41;983;87;59;-;10;2;388;2182
"33 Rio de Janeiro";197;758;974;187;66;3971;339;86;3;58;5;830;7474
"35 São Paulo";392;2250;1968;552;215;7863;1099;454;18;137;14;3164;18126
"41 Paraná";104;1066;855;355;120;2371;341;183;1;34;4;1296;6730
"42 Santa Catarina";48;634;390;91;30;1288;214;71;-;19;4;792;3581
"43 Rio Grande do Sul";174;990;778;207;59;1946;347;106;1;47;-;1501;6156
"50 Mato Grosso do Sul";23;157;86;30;19;791;74;41;-;5;-;294;1520
"51 Mato Grosso";29;191;207;76;25;531;70;23;-;5;2;451;1610
"52 Goiás";123;521;333;184;58;1283;184;113;2;16;9;845;3671
"53 Distrito Federal";27;91;123;83;26;364;29;17;-;3;1;206;970
"Total";2556;14538;12285;4277;1439;40352;4859;2743;72;636;84;19940;103781
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
