 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Domicílio
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";20;114;105;22;10;248;30;5;-;10;-;279;843
"12 Acre";4;37;26;9;3;86;15;5;-;1;-;128;314
"13 Amazonas";68;361;204;26;19;415;77;38;1;7;4;457;1677
"14 Roraima";6;37;29;2;2;97;19;3;1;2;2;101;301
"15 Pará";139;420;358;40;32;1442;148;83;2;19;9;794;3486
"16 Amapá";6;31;29;3;3;105;6;5;-;1;2;144;335
"17 Tocantins";10;98;87;48;18;345;33;19;-;8;1;238;905
"21 Maranhão";106;422;590;69;34;1564;117;117;4;25;6;723;3777
"22 Piauí";48;346;317;72;26;983;79;102;1;11;3;471;2459
"23 Ceará";147;1117;407;207;69;1793;217;212;9;34;5;1225;5442
"24 Rio Grande do Norte";52;273;187;53;32;862;72;92;2;10;1;471;2107
"25 Paraíba";55;379;428;80;34;1043;93;76;-;15;7;387;2597
"26 Pernambuco";126;735;933;411;84;1944;132;165;6;24;5;1033;5598
"27 Alagoas";57;225;303;100;19;861;65;92;1;11;3;265;2002
"28 Sergipe";28;192;170;122;20;492;37;47;2;4;1;262;1377
"29 Bahia";238;1075;1066;429;142;2708;286;248;5;56;7;1490;7750
"31 Minas Gerais";202;1490;1272;682;204;3927;405;199;6;70;5;1999;10461
"32 Espírito Santo";34;248;299;150;30;974;70;45;2;15;2;410;2279
"33 Rio de Janeiro";180;704;926;249;91;3759;305;76;5;50;5;851;7201
"35 São Paulo";374;2290;2227;507;201;8820;1170;495;11;139;17;3291;19542
"41 Paraná";97;1063;980;444;134;2538;347;176;5;48;5;1328;7165
"42 Santa Catarina";68;635;415;92;46;1476;171;75;2;19;6;842;3847
"43 Rio Grande do Sul";157;990;928;223;76;2122;369;92;3;46;4;1462;6472
"50 Mato Grosso do Sul";34;186;93;31;19;818;66;34;-;3;1;367;1652
"51 Mato Grosso";27;215;192;75;38;582;52;23;-;11;2;411;1628
"52 Goiás";121;500;397;169;57;1452;168;140;3;22;5;865;3899
"53 Distrito Federal";29;110;136;69;27;331;33;38;-;2;3;220;998
"Total";2433;14293;13104;4384;1470;41787;4582;2702;71;663;111;20514;106114
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
