 Óbitos por causas evitáveis de 5 a 74 anos - Paraná
Óbitos p/Residênc por Município
Período:2022
"Município";"Óbitos_p/Residênc"
"411390 MALLET";67
"411400 MAMBORE";83
"411410 MANDAGUACU";115
"411420 MANDAGUARI";168
"411430 MANDIRITUBA";116
"411435 MANFRINOPOLIS";13
"411440 MANGUEIRINHA";63
"411450 MANOEL RIBAS";73
"411460 MARECHAL CANDIDO RONDON";224
"411470 MARIA HELENA";25
"411480 MARIALVA";162
"411490 MARILANDIA DO SUL";40
"411500 MARILENA";44
"411510 MARILUZ";54
"411520 MARINGA";1347
"411530 MARIOPOLIS";31
"411535 MARIPA";18
"411540 MARMELEIRO";65
"411545 MARQUINHO";13
"411550 MARUMBI";32
"411560 MATELANDIA";82
"411570 MATINHOS";240
"411573 MATO RICO";26
"411575 MAUA DA SERRA";54
"411580 MEDIANEIRA";199
"411585 MERCEDES";20
"411590 MIRADOR";12
"411600 MIRASELVA";1
"411605 MISSAL";47
"411610 MOREIRA SALES";67
"411620 MORRETES";91
"411630 MUNHOZ DE MELO";16
"411640 NOSSA SENHORA DAS GRACAS";16
"411650 NOVA ALIANCA DO IVAI";6
"411660 NOVA AMERICA DA COLINA";20
"411670 NOVA AURORA";50
"411680 NOVA CANTU";42
"411690 NOVA ESPERANCA";138
"411695 NOVA ESPERANCA DO SUDOESTE";16
"411700 NOVA FATIMA";45
"411705 NOVA LARANJEIRAS";64
"411710 NOVA LONDRINA";67
"411720 NOVA OLIMPIA";31
"411721 NOVA SANTA BARBARA";27
"411722 NOVA SANTA ROSA";39
"411725 NOVA PRATA DO IGUACU";61
"411727 NOVA TEBAS";41
"411729 NOVO ITACOLOMI";10
"411730 ORTIGUEIRA";122
"411740 OURIZONA";18
"411745 OURO VERDE DO OESTE";30
"411750 PAICANDU";191
"411760 PALMAS";229
"411770 PALMEIRA";155
"411780 PALMITAL";72
"411790 PALOTINA";102
"411800 PARAISO DO NORTE";57
"411810 PARANACITY";47
"411820 PARANAGUA";761
"411830 PARANAPOEMA";20
"411840 PARANAVAI";413
"411845 PATO BRAGADO";34
"411850 PATO BRANCO";359
"411860 PAULA FREITAS";29
"411870 PAULO FRONTIN";30
"411880 PEABIRU";63
"411885 PEROBAL";29
"411890 PEROLA";57
"411900 PEROLA D'OESTE";25
"411910 PIEN";51
"411915 PINHAIS";483
"411920 PINHALAO";45
"411925 PINHAL DE SAO BENTO";10
"411930 PINHAO";144
"411940 PIRAI DO SUL";121
"411950 PIRAQUARA";450
"411960 PITANGA";165
"411965 PITANGUEIRAS";15
"411970 PLANALTINA DO PARANA";20
"411980 PLANALTO";86
"411990 PONTA GROSSA";1695
"411995 PONTAL DO PARANA";170
"412000 PORECATU";65
"412010 PORTO AMAZONAS";27
"412015 PORTO BARREIRO";16
"412020 PORTO RICO";12
"412030 PORTO VITORIA";25
"412033 PRADO FERREIRA";30
"412035 PRANCHITA";29
"412040 PRESIDENTE CASTELO BRANCO";31
"412050 PRIMEIRO DE MAIO";53
"412060 PRUDENTOPOLIS";255
"412065 QUARTO CENTENARIO";26
"412070 QUATIGUA";34
"412080 QUATRO BARRAS";89
"412085 QUATRO PONTES";18
"412090 QUEDAS DO IGUACU";173
"412100 QUERENCIA DO NORTE";40
"412110 QUINTA DO SOL";24
"412120 QUITANDINHA";98
"412125 RAMILANDIA";26
"412130 RANCHO ALEGRE";29
"412135 RANCHO ALEGRE D'OESTE";9
"412140 REALEZA";93
"412150 REBOUCAS";73
"412160 RENASCENCA";28
"412170 RESERVA";109
"412175 RESERVA DO IGUACU";31
"412180 RIBEIRAO CLARO";60
"412190 RIBEIRAO DO PINHAL";98
"412200 RIO AZUL";70
"412210 RIO BOM";17
"412215 RIO BONITO DO IGUACU";54
"412217 RIO BRANCO DO IVAI";20
"412220 RIO BRANCO DO SUL";159
"412230 RIO NEGRO";118
"412240 ROLANDIA";245
"412250 RONCADOR";45
"412260 RONDON";39
"412265 ROSARIO DO IVAI";31
"412270 SABAUDIA";32
"412280 SALGADO FILHO";21
"412290 SALTO DO ITARARE";33
"412300 SALTO DO LONTRA";66
"412310 SANTA AMELIA";17
"412320 SANTA CECILIA DO PAVAO";19
"412330 SANTA CRUZ DE MONTE CASTELO";29
"412340 SANTA FE";41
"412350 SANTA HELENA";116
"412360 SANTA INES";9
"412370 SANTA ISABEL DO IVAI";41
"412380 SANTA IZABEL DO OESTE";52
"412382 SANTA LUCIA";13
"412385 SANTA MARIA DO OESTE";43
"412390 SANTA MARIANA";71
"412395 SANTA MONICA";21
"412400 SANTANA DO ITARARE";32
"412402 SANTA TEREZA DO OESTE";56
"412405 SANTA TEREZINHA DE ITAIPU";109
"412410 SANTO ANTONIO DA PLATINA";235
"412420 SANTO ANTONIO DO CAIUA";15
"412430 SANTO ANTONIO DO PARAISO";5
"412440 SANTO ANTONIO DO SUDOESTE";88
"412450 SANTO INACIO";27
"412460 SAO CARLOS DO IVAI";30
"412470 SAO JERONIMO DA SERRA";29
"412480 SAO JOAO";54
"412490 SAO JOAO DO CAIUA";27
"412500 SAO JOAO DO IVAI";76
"412510 SAO JOAO DO TRIUNFO";69
"412520 SAO JORGE D'OESTE";43
"412530 SAO JORGE DO IVAI";26
"412535 SAO JORGE DO PATROCINIO";25
"412540 SAO JOSE DA BOA VISTA";33
"412545 SAO JOSE DAS PALMEIRAS";29
