 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Local ocorrência
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Período:2022
"Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"11 Rondônia";2579;143;758;527;336;10;4353
"12 Acre";1072;3;339;171;140;2;1727
"13 Amazonas";5865;66;1539;1077;564;4;9115
"14 Roraima";957;5;294;122;262;-;1640
"15 Pará";10673;1585;3206;2234;1628;23;19349
"16 Amapá";1004;109;300;136;220;3;1772
"17 Tocantins";2200;223;846;553;340;13;4175
"21 Maranhão";9557;594;3636;1811;1175;11;16784
"22 Piauí";5164;112;2520;961;526;10;9293
"23 Ceará";12937;1420;5254;2864;1974;3;24452
"24 Rio Grande do Norte";4871;814;2061;1025;427;23;9221
"25 Paraíba";6775;490;2648;1061;751;10;11735
"26 Pernambuco";16159;1971;5423;2787;1603;10;27953
"27 Alagoas";5711;614;2011;898;674;4;9912
"28 Sergipe";3596;78;1313;742;133;2;5864
"29 Bahia";22064;3104;7814;4540;3134;52;40708
"31 Minas Gerais";34439;4320;10818;3514;2437;67;55595
"32 Espírito Santo";6826;830;2202;1146;646;33;11683
"33 Rio de Janeiro";35965;7421;7112;2508;1750;8;54764
"35 São Paulo";83264;10126;20089;5732;3774;34;123019
"41 Paraná";20697;1985;7465;2911;1887;6;34951
"42 Santa Catarina";12709;521;3991;1260;1004;5;19490
"43 Rio Grande do Sul";24467;1416;6872;2176;1825;35;36791
"50 Mato Grosso do Sul";5283;289;1659;711;558;4;8504
"51 Mato Grosso";5345;757;1691;1105;659;9;9566
"52 Goiás";12243;1251;3679;1610;1107;18;19908
"53 Distrito Federal";3385;475;984;425;204;-;5473
"Total";355807;40722;106524;44607;29738;399;577797
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
