 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Local ocorrência
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Período:2018
"Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"11 Rondônia";2385;52;613;446;226;6;3728
"12 Acre";1139;1;408;245;193;2;1988
"13 Amazonas";5305;100;1108;902;572;8;7995
"14 Roraima";846;11;219;139;257;2;1474
"15 Pará";10656;988;3059;2855;1688;119;19365
"16 Amapá";975;39;239;179;161;1;1594
"17 Tocantins";1899;121;695;552;329;4;3600
"21 Maranhão";8940;616;3300;1701;1011;17;15585
"22 Piauí";4632;64;2021;911;424;19;8071
"23 Ceará";11718;1133;5077;4015;1685;39;23667
"24 Rio Grande do Norte";4922;491;1779;1349;587;12;9140
"25 Paraíba";6040;269;2100;1270;642;10;10331
"26 Pernambuco";15249;2013;4878;3390;1419;23;26972
"27 Alagoas";5420;247;1692;1216;461;5;9041
"28 Sergipe";3490;76;1188;901;149;1;5805
"29 Bahia";20960;2071;5849;4477;2858;47;36262
"31 Minas Gerais";32161;4111;8460;3759;2264;60;50815
"32 Espírito Santo";6614;539;1816;1101;493;27;10590
"33 Rio de Janeiro";37013;7697;6108;2663;3048;11;56540
"35 São Paulo";81165;7646;15429;5262;3341;29;112872
"41 Paraná";19434;1593;6076;2535;1660;10;31308
"42 Santa Catarina";11357;359;3202;1340;849;7;17114
"43 Rio Grande do Sul";23760;1102;5560;2475;1767;15;34679
"50 Mato Grosso do Sul";4646;270;1453;622;540;1;7532
"51 Mato Grosso";5228;525;1310;972;519;15;8569
"52 Goiás";10834;1309;3194;1980;1084;33;18434
"53 Distrito Federal";3566;244;870;452;199;5;5336
"Total";340354;33687;87703;47709;28426;528;538407
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
