 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Local ocorrência
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Período:2019
"Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"11 Rondônia";2393;55;661;419;236;6;3770
"12 Acre";1117;3;373;191;167;4;1855
"13 Amazonas";5477;72;1222;870;617;5;8263
"14 Roraima";855;9;258;99;187;1;1409
"15 Pará";10352;1286;2847;2296;1696;85;18562
"16 Amapá";996;48;284;191;148;1;1668
"17 Tocantins";1948;100;735;485;311;7;3586
"21 Maranhão";8973;562;3282;1564;904;12;15297
"22 Piauí";4798;59;1976;826;466;12;8137
"23 Ceará";11810;1270;4672;2679;1259;12;21702
"24 Rio Grande do Norte";4935;594;1834;1128;433;17;8941
"25 Paraíba";6279;353;2111;954;564;6;10267
"26 Pernambuco";15667;2039;4962;2842;1408;31;26949
"27 Alagoas";5687;355;1603;977;431;7;9060
"28 Sergipe";3491;45;1151;859;110;-;5656
"29 Bahia";20834;2115;6026;4450;2738;35;36198
"31 Minas Gerais";32697;4566;8730;3565;2534;52;52144
"32 Espírito Santo";6875;554;1837;1021;533;23;10843
"33 Rio de Janeiro";37164;8212;6297;2372;2615;18;56678
"35 São Paulo";81641;7607;15922;5265;3399;26;113860
"41 Paraná";19346;1527;6109;2477;1462;10;30931
"42 Santa Catarina";11637;383;3131;1292;928;7;17378
"43 Rio Grande do Sul";23796;1149;5704;2074;1721;25;34469
"50 Mato Grosso do Sul";4678;277;1355;635;513;-;7458
"51 Mato Grosso";5198;595;1290;917;524;4;8528
"52 Goiás";10851;1390;3116;1775;1104;22;18258
"53 Distrito Federal";3606;269;882;469;162;3;5391
"Total";343101;35494;88370;42692;27170;431;537258
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
