 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Causas evitáveis
Período:2023
"Unidade da Federação";"1.1. Reduzíveis pelas ações de imunoprevenção";"1.2. Reduz ações prom prev contr atenç doenç infec";"1.3. Reduz ações prom prev contr atenç doe ñ trans";"1.4. Reduz ações prev contr atenção causas matern";"1.5. Reduz ações prom prev atenç causas externas";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"11 Rondônia";6;553;2484;11;1390;405;1270;6119
"12 Acre";5;284;1010;6;507;128;523;2463
"13 Amazonas";35;1365;5085;65;2899;890;2407;12746
"14 Roraima";9;234;824;17;533;71;405;2093
"15 Pará";15;2996;10769;91;5592;1580;5307;26350
"16 Amapá";-;265;890;12;778;110;416;2471
"17 Tocantins";2;349;2398;18;1327;136;977;5207
"21 Maranhão";17;2123;10008;93;4655;1029;4354;22279
"22 Piauí";7;1072;5576;28;2396;481;2357;11917
"23 Ceará";17;3124;13207;65;7372;703;7705;32193
"24 Rio Grande do Norte";4;1075;5635;29;2003;385;2706;11837
"25 Paraíba";5;1526;7005;35;2630;581;3381;15163
"26 Pernambuco";46;3889;16982;77;7308;1029;9410;38741
"27 Alagoas";11;1522;6088;34;2427;580;2732;13394
"28 Sergipe";3;765;3372;14;1581;503;1788;8026
"29 Bahia";32;4855;24241;112;12068;4343;12328;57979
"31 Minas Gerais";42;8259;35663;121;11733;5736;21492;83046
"32 Espírito Santo";13;1013;7906;26;3119;85;3254;15416
"33 Rio de Janeiro";52;10454;34722;182;9872;6620;18988;80890
"35 São Paulo";123;18877;83765;256;18545;7945;49265;178776
"41 Paraná";29;3771;22293;69;7538;1138;11461;46299
"42 Santa Catarina";14;2181;13369;36;4009;708;6870;27187
"43 Rio Grande do Sul";37;4026;24491;57;6402;2117;11477;48607
"50 Mato Grosso do Sul";8;1193;5298;26;1927;376;2581;11409
"51 Mato Grosso";8;1026;5764;45;3155;610;2827;13435
"52 Goiás";13;2418;12426;57;4870;386;6263;26433
"53 Distrito Federal";4;776;3446;21;1225;244;2050;7766
"Total";557;79991;364717;1603;127861;38919;194594;808242
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
