 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Causas evitáveis
Período:2019
"Unidade da Federação";"1.1. Reduzíveis pelas ações de imunoprevenção";"1.2. Reduz ações prom prev contr atenç doenç infec";"1.3. Reduz ações prom prev contr atenç doe ñ trans";"1.4. Reduz ações prev contr atenção causas matern";"1.5. Reduz ações prom prev atenç causas externas";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"11 Rondônia";12;406;2169;14;1169;324;1070;5164
"12 Acre";16;254;995;8;582;172;429;2456
"13 Amazonas";41;1024;4302;67;2829;1220;1853;11336
"14 Roraima";2;155;740;11;501;51;339;1799
"15 Pará";24;2723;9783;130;5902;1721;4407;24690
"16 Amapá";1;227;845;5;590;152;409;2229
"17 Tocantins";1;258;2112;15;1200;137;832;4555
"21 Maranhão";28;1877;9281;85;4026;871;3872;20040
"22 Piauí";3;981;5110;46;1997;411;2160;10708
"23 Ceará";18;2828;12675;108;6073;749;6900;29351
"24 Rio Grande do Norte";9;1031;5517;32;2352;366;2418;11725
"25 Paraíba";5;1321;6626;45;2270;710;3225;14202
"26 Pernambuco";37;3306;16626;73;6907;846;8242;36037
"27 Alagoas";5;1175;5694;29;2157;505;2512;12077
"28 Sergipe";4;794;3115;12;1731;510;1520;7686
"29 Bahia";21;3950;20609;112;11506;5794;10709;52701
"31 Minas Gerais";30;7533;33653;117;10811;5217;18764;76125
"32 Espírito Santo";13;1059;6999;33;2739;118;2838;13799
"33 Rio de Janeiro";43;9980;35492;183;10980;7068;17588;81334
"35 São Paulo";130;16721;79567;294;17148;8299;43830;165989
"41 Paraná";25;3476;20532;72;6826;1086;9840;41857
"42 Santa Catarina";22;2185;11501;31;3639;692;5953;24023
"43 Rio Grande do Sul";25;4029;24191;56;6168;2309;10543;47321
"50 Mato Grosso do Sul";6;1041;4758;24;1629;276;2035;9769
"51 Mato Grosso";5;960;5010;44;2509;645;2349;11522
"52 Goiás";7;2139;11108;71;4933;533;5438;24229
"53 Distrito Federal";3;621;3550;9;1208;191;1757;7339
"Total";536;72054;342560;1726;120382;40973;171832;750063
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
