 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Causas evitáveis
Período:2020
"Unidade da Federação";"1.1. Reduzíveis pelas ações de imunoprevenção";"1.2. Reduz ações prom prev contr atenç doenç infec";"1.3. Reduz ações prom prev contr atenç doe ñ trans";"1.4. Reduz ações prev contr atenção causas matern";"1.5. Reduz ações prom prev atenç causas externas";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"11 Rondônia";7;389;2202;19;1263;377;2334;6591
"12 Acre";10;213;915;5;558;358;940;2999
"13 Amazonas";45;1144;4360;78;2567;1443;5756;15393
"14 Roraima";6;172;637;20;542;65;887;2329
"15 Pará";30;3202;10033;155;5578;2109;10001;31108
"16 Amapá";1;199;887;15;631;108;1167;3008
"17 Tocantins";-;292;2154;18;1269;149;1575;5457
"21 Maranhão";14;2149;9836;101;4557;1218;7287;25162
"22 Piauí";6;992;5240;47;2173;590;3602;12650
"23 Ceará";21;2704;12577;132;7949;1471;12829;37683
"24 Rio Grande do Norte";8;966;5510;34;2473;453;4205;13649
"25 Paraíba";7;1344;6552;56;2602;871;5084;16516
"26 Pernambuco";28;3042;16730;99;7415;1529;15034;43877
"27 Alagoas";7;1195;5714;40;2467;922;4490;14835
"28 Sergipe";3;718;3261;33;1766;599;2921;9301
"29 Bahia";26;3793;22405;157;12086;6035;17085;61587
"31 Minas Gerais";53;6680;34219;135;10205;6004;26050;83346
"32 Espírito Santo";12;1082;7181;43;2890;233;5608;17049
"33 Rio de Janeiro";45;9766;34905;236;10226;8574;35864;99616
"35 São Paulo";87;15173;78499;353;17692;10799;73194;195797
"41 Paraná";14;3063;20759;84;7189;1262;15105;47476
"42 Santa Catarina";27;1822;11587;37;3641;701;8932;26747
"43 Rio Grande do Sul";43;3514;22739;67;5959;2459;15222;50003
"50 Mato Grosso do Sul";9;970;4781;16;1653;300;3554;11283
"51 Mato Grosso";8;905;5096;55;2831;801;5297;14993
"52 Goiás";15;1992;11350;90;5188;554;10055;29244
"53 Distrito Federal";1;660;3734;22;1241;251;3630;9539
"Total";533;68141;343863;2147;124611;50235;297708;887238
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
