 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Período:2020
"Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"11 Rondônia";1519;955;28;382;44;99;-;2;1139;341;253;9;16;132;19;3;8;378;1264;6591
"12 Acre";647;397;19;130;18;33;1;-;445;211;120;1;9;41;5;1;5;358;558;2999
"13 Amazonas";4481;1960;72;939;82;163;-;4;1898;823;521;32;73;215;78;-;31;1443;2578;15393
"14 Roraima";657;310;17;100;10;21;-;-;324;110;101;11;14;24;20;-;3;65;542;2329
"15 Pará";6385;3766;174;1942;162;376;-;1;5269;3181;1151;97;109;598;155;-;49;2109;5584;31108
"16 Amapá";880;369;10;163;24;45;-;-;428;150;119;2;8;50;15;2;4;108;631;3008
"17 Tocantins";887;729;15;374;101;90;-;1;1159;243;294;15;13;95;18;-;4;149;1270;5457
"21 Maranhão";3956;3056;145;2007;295;311;-;7;5556;1948;1284;87;79;499;101;5;47;1219;4560;25162
"22 Piauí";1987;1801;71;812;223;240;-;-;2891;784;676;51;49;230;47;-;23;591;2174;12650
"23 Ceará";7426;6116;165;1481;544;632;1;9;6665;2244;1862;175;135;549;132;4;67;1472;8004;37683
"24 Rio Grande do Norte";2262;2362;53;850;190;205;-;5;2915;748;737;55;58;214;34;-;29;454;2478;13649
"25 Paraíba";2589;2659;63;1179;215;258;-;2;3520;1087;908;54;28;391;56;-;33;871;2603;16516
"26 Pernambuco";8305;6213;171;3040;1027;711;3;4;8464;3294;2271;177;161;879;99;2;89;1529;7438;43877
"27 Alagoas";2871;1776;50;1149;234;133;1;3;3160;816;860;53;43;236;40;-;20;922;2468;14835
"28 Sergipe";1761;1318;43;531;273;138;-;1;1601;472;459;65;28;202;33;-;10;599;1767;9301
"29 Bahia";8555;9118;347;3991;1129;885;2;2;11561;2913;3060;236;211;1148;157;2;122;6037;12111;61587
"31 Minas Gerais";10699;16209;436;4716;2079;1814;2;12;17731;5830;4600;286;403;1966;135;7;173;6004;10244;83346
"32 Espírito Santo";3374;3056;58;997;240;323;-;4;3684;878;771;61;75;307;43;1;43;233;2901;17049
"33 Rio de Janeiro";23539;14798;541;5338;792;1186;3;7;20271;7202;3487;405;346;2536;236;1;118;8574;10236;99616
"35 São Paulo";35130;37064;723;9698;2027;3400;1;19;44094;18057;10627;702;787;4224;353;10;315;10801;17765;195797
"41 Paraná";6793;10049;159;2725;948;1051;1;2;10039;2998;2798;136;209;870;84;2;117;1262;7233;47476
"42 Santa Catarina";4088;6534;94;1356;315;480;-;4;5687;1781;1317;68;104;476;37;1;48;701;3656;26747
"43 Rio Grande do Sul";7403;12466;128;3269;770;1027;-;3;9517;3139;2384;112;181;968;67;24;99;2459;5987;50003
"50 Mato Grosso do Sul";1819;1947;45;463;77;225;-;-;2899;808;625;54;55;271;16;-;18;300;1661;11283
"51 Mato Grosso";3522;2101;61;846;204;216;-;2;2554;800;587;30;50;300;55;-;25;801;2839;14993
"52 Goiás";5715;4689;105;1577;506;546;-;2;6042;1759;1631;59;100;596;90;-;65;554;5208;29244
"53 Distrito Federal";2245;1851;49;472;213;205;-;2;1726;485;523;27;46;121;22;-;47;251;1254;9539
"Total";159495;153669;3842;50527;12742;14813;15;98;181239;63102;44026;3060;3390;18138;2147;65;1612;50244;125014;887238
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
