 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XX";"Total"
"11 Rondônia";-;-;2;-;-;1;1;-;-;-;3;7
"12 Acre";-;-;-;-;-;-;-;-;-;-;1;1
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;11;11
"14 Roraima";-;-;-;-;-;-;-;-;-;-;2;2
"15 Pará";-;-;1;-;1;2;-;-;-;-;22;26
"16 Amapá";-;-;1;-;-;-;-;-;-;-;-;1
"17 Tocantins";-;-;-;-;1;2;-;1;-;-;9;13
"21 Maranhão";-;-;1;-;-;7;-;-;-;-;10;18
"22 Piauí";-;1;1;-;-;1;-;1;-;-;3;7
"23 Ceará";-;1;1;-;-;4;-;-;-;-;10;16
"24 Rio Grande do Norte";1;2;-;-;-;1;-;-;-;1;4;9
"25 Paraíba";-;1;1;-;-;2;-;-;-;-;2;6
"26 Pernambuco";-;-;-;-;-;2;-;-;-;-;4;6
"27 Alagoas";1;-;-;-;-;2;-;-;-;-;1;4
"29 Bahia";-;2;-;-;1;11;1;-;-;-;31;46
"31 Minas Gerais";1;5;2;3;1;13;1;1;-;1;34;62
"32 Espírito Santo";-;1;-;-;-;3;-;1;-;-;27;32
"33 Rio de Janeiro";1;2;-;-;-;1;2;-;-;-;5;11
"35 São Paulo";3;10;4;-;-;29;6;1;1;2;15;71
"41 Paraná";-;1;-;-;-;1;1;1;-;-;11;15
"42 Santa Catarina";-;1;-;-;-;3;-;-;-;-;10;14
"43 Rio Grande do Sul";1;-;2;1;2;4;2;-;-;1;20;33
"50 Mato Grosso do Sul";-;1;1;-;-;1;1;-;-;-;-;4
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;1;1
"52 Goiás";-;-;-;1;-;3;-;-;-;-;11;15
"Total";8;28;17;5;6;93;15;6;1;5;247;431
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
