 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Ignorado
Período:2022
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XIV";"Cap XX";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;10;10
"12 Acre";-;-;-;-;-;-;-;-;-;2;2
"13 Amazonas";-;-;-;-;-;-;-;-;-;4;4
"15 Pará";-;-;-;-;-;1;1;-;-;21;23
"16 Amapá";-;-;-;-;1;-;-;-;-;2;3
"17 Tocantins";1;-;-;1;-;2;-;2;-;7;13
"21 Maranhão";-;1;1;-;-;1;-;-;-;8;11
"22 Piauí";-;-;1;-;-;1;-;-;-;8;10
"23 Ceará";-;-;-;-;-;-;-;-;-;3;3
"24 Rio Grande do Norte";2;-;-;-;-;3;-;-;-;18;23
"25 Paraíba";1;1;1;-;-;4;1;-;-;2;10
"26 Pernambuco";1;-;-;-;-;2;1;-;-;6;10
"27 Alagoas";-;-;1;1;-;1;-;-;-;1;4
"28 Sergipe";-;-;-;-;-;2;-;-;-;-;2
"29 Bahia";1;1;1;-;1;10;1;-;1;36;52
"31 Minas Gerais";2;1;3;1;2;11;1;-;-;46;67
"32 Espírito Santo";-;-;1;1;-;1;1;-;-;29;33
"33 Rio de Janeiro";-;1;-;-;-;1;1;-;-;5;8
"35 São Paulo";-;3;5;1;-;12;4;1;1;7;34
"41 Paraná";-;-;-;-;-;4;1;-;-;1;6
"42 Santa Catarina";-;-;-;-;-;1;-;1;-;3;5
"43 Rio Grande do Sul";-;-;-;-;-;6;3;-;-;26;35
"50 Mato Grosso do Sul";-;-;-;-;-;1;-;-;-;3;4
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;9;9
"52 Goiás";-;-;1;2;-;1;2;1;-;11;18
"Total";8;8;15;7;4;65;17;5;2;268;399
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
