 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2022
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";2;4;9;2;1;24;4;-;-;-;-;481;527
"12 Acre";-;1;2;1;-;13;2;-;-;1;-;151;171
"13 Amazonas";2;1;1;3;-;14;-;2;-;-;1;1053;1077
"14 Roraima";-;-;1;-;-;4;-;-;-;1;-;116;122
"15 Pará";5;7;6;4;1;90;5;2;-;-;-;2114;2234
"16 Amapá";-;-;2;-;-;4;-;-;-;1;-;129;136
"17 Tocantins";1;3;3;5;-;23;1;3;-;1;-;513;553
"21 Maranhão";10;9;13;16;5;137;14;20;-;1;1;1585;1811
"22 Piauí";1;6;8;12;3;51;8;3;-;-;-;869;961
"23 Ceará";5;4;11;20;4;108;12;2;-;1;1;2696;2864
"24 Rio Grande do Norte";1;5;11;4;1;83;3;5;-;-;-;912;1025
"25 Paraíba";1;4;10;5;-;59;9;3;-;-;-;970;1061
"26 Pernambuco";3;6;23;26;3;104;6;7;-;2;-;2607;2787
"27 Alagoas";1;-;5;5;1;35;3;3;-;-;-;845;898
"28 Sergipe";1;2;13;10;-;29;3;3;-;-;1;680;742
"29 Bahia";16;15;29;40;6;174;22;5;3;1;1;4228;4540
"31 Minas Gerais";15;9;37;55;5;207;17;5;1;3;1;3159;3514
"32 Espírito Santo";1;4;7;7;1;76;2;3;-;1;-;1044;1146
"33 Rio de Janeiro";7;3;14;18;3;135;14;3;-;-;-;2311;2508
"35 São Paulo";23;9;28;24;2;455;129;20;-;3;-;5039;5732
"41 Paraná";8;9;36;45;6;159;20;8;-;3;-;2617;2911
"42 Santa Catarina";8;8;9;8;2;77;6;3;-;-;-;1139;1260
"43 Rio Grande do Sul";16;15;28;25;1;106;20;3;-;1;-;1961;2176
"50 Mato Grosso do Sul";4;3;5;4;-;62;5;4;-;1;-;623;711
"51 Mato Grosso";2;2;10;7;-;52;6;1;-;-;1;1024;1105
"52 Goiás";5;2;6;14;1;86;7;14;-;-;-;1475;1610
"53 Distrito Federal";2;1;6;10;3;26;2;2;-;-;-;373;425
"Total";140;132;333;370;49;2393;320;124;4;21;7;40714;44607
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
