 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2024
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";2;-;1;3;-;23;4;-;-;-;-;486;519
"12 Acre";1;1;-;-;-;12;3;-;-;1;-;140;158
"13 Amazonas";5;2;3;4;1;15;1;1;-;-;1;860;893
"14 Roraima";-;-;-;2;-;4;-;-;1;-;-;88;95
"15 Pará";9;6;13;6;1;102;10;3;-;-;2;2020;2172
"16 Amapá";1;-;1;-;-;13;-;-;-;-;-;118;133
"17 Tocantins";-;2;6;2;-;36;3;2;-;-;-;453;504
"21 Maranhão";5;7;24;11;2;93;10;10;-;5;-;1828;1995
"22 Piauí";3;2;15;10;4;48;6;4;-;-;-;936;1028
"23 Ceará";1;9;14;15;-;95;12;10;-;2;-;2754;2912
"24 Rio Grande do Norte";3;2;5;3;-;75;11;5;-;-;-;711;815
"25 Paraíba";1;4;8;2;1;47;9;3;-;-;-;1035;1110
"26 Pernambuco";3;-;16;12;7;132;6;5;-;-;-;2874;3055
"27 Alagoas";6;1;6;1;1;41;4;-;-;1;-;831;892
"28 Sergipe";-;1;10;3;-;36;1;1;-;-;-;600;652
"29 Bahia";13;11;37;42;10;193;21;6;-;3;-;4322;4658
"31 Minas Gerais";19;8;42;50;12;234;23;7;-;4;1;3585;3985
"32 Espírito Santo";4;1;11;8;2;68;2;3;-;-;-;1010;1109
"33 Rio de Janeiro";8;3;8;7;3;150;26;2;-;-;1;2127;2335
"35 São Paulo";38;16;27;27;4;501;147;17;1;5;1;4997;5781
"41 Paraná";9;10;26;55;5;143;26;12;-;3;-;2464;2753
"42 Santa Catarina";1;7;15;5;1;76;12;4;-;-;-;1280;1401
"43 Rio Grande do Sul";12;5;29;25;6;115;13;8;-;1;1;1908;2123
"50 Mato Grosso do Sul";3;7;5;6;-;47;4;1;2;1;-;603;679
"51 Mato Grosso";4;5;9;3;1;44;10;4;-;-;1;1013;1094
"52 Goiás";8;8;13;18;2;100;8;10;1;-;-;1445;1613
"53 Distrito Federal";2;1;2;6;-;30;3;2;-;-;-;320;366
"Total";161;119;346;326;63;2473;375;120;5;26;8;40808;44830
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
