 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2023
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";3;1;3;-;-;18;2;-;-;-;-;479;506
"12 Acre";-;2;1;-;-;18;1;-;-;-;-;131;153
"13 Amazonas";4;2;7;8;1;23;2;3;-;-;1;1025;1076
"14 Roraima";-;-;-;-;-;4;-;-;-;-;-;90;94
"15 Pará";9;6;16;2;1;85;7;2;-;-;-;1965;2093
"16 Amapá";-;-;1;1;-;10;1;-;-;-;-;205;218
"17 Tocantins";2;-;3;3;-;33;2;1;-;-;1;527;572
"21 Maranhão";8;5;20;16;4;118;11;6;-;4;1;1685;1878
"22 Piauí";1;5;8;14;3;51;1;7;-;2;-;912;1004
"23 Ceará";2;5;8;15;4;87;9;12;-;1;1;2475;2619
"24 Rio Grande do Norte";1;4;3;2;1;82;3;4;-;-;-;753;853
"25 Paraíba";2;4;9;3;-;66;3;3;-;-;-;1030;1120
"26 Pernambuco";3;3;9;19;2;117;4;3;-;1;1;2834;2996
"27 Alagoas";3;2;9;6;2;39;3;3;-;1;-;868;936
"28 Sergipe";1;1;5;7;1;41;1;-;-;-;-;553;610
"29 Bahia";16;14;39;20;5;169;15;10;-;-;-;4225;4513
"31 Minas Gerais";17;15;43;43;13;233;17;11;-;1;-;3385;3778
"32 Espírito Santo";-;-;7;6;-;61;8;2;-;-;-;1006;1090
"33 Rio de Janeiro";6;2;14;11;-;156;28;5;-;-;-;2393;2615
"35 São Paulo";34;6;32;27;6;448;106;19;-;-;-;4885;5563
"41 Paraná";7;8;32;39;7;135;16;9;-;1;-;2481;2735
"42 Santa Catarina";3;6;12;8;1;67;10;3;-;-;-;1183;1293
"43 Rio Grande do Sul";20;10;24;15;5;86;19;4;-;-;-;1880;2063
"50 Mato Grosso do Sul";-;1;7;5;-;56;8;4;-;1;-;655;737
"51 Mato Grosso";6;3;8;8;2;52;3;2;-;1;-;1039;1124
"52 Goiás";11;1;12;28;-;72;9;11;-;2;-;1388;1534
"53 Distrito Federal";5;3;3;7;1;26;5;5;1;-;-;322;378
"Total";164;109;335;313;59;2353;294;129;1;15;5;40374;44151
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
