 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2018
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";-;3;5;1;1;18;-;-;-;-;-;418;446
"12 Acre";-;-;5;-;2;18;-;1;-;-;-;219;245
"13 Amazonas";-;2;-;1;-;14;-;-;-;-;-;885;902
"14 Roraima";-;-;2;2;-;5;-;1;-;-;-;129;139
"15 Pará";8;5;13;3;2;93;11;10;-;-;-;2710;2855
"16 Amapá";-;1;2;-;-;2;-;-;-;-;-;174;179
"17 Tocantins";1;1;5;2;-;26;5;2;-;-;-;510;552
"21 Maranhão";6;3;25;5;2;124;3;10;1;-;4;1518;1701
"22 Piauí";2;5;10;6;3;60;5;7;-;-;2;811;911
"23 Ceará";6;9;17;9;3;122;22;13;-;2;1;3811;4015
"24 Rio Grande do Norte";3;1;15;3;-;69;5;5;-;-;-;1248;1349
"25 Paraíba";7;1;8;2;-;60;5;3;-;-;1;1183;1270
"26 Pernambuco";7;10;21;14;-;150;14;6;-;-;1;3167;3390
"27 Alagoas";2;4;8;1;1;47;2;6;-;1;3;1141;1216
"28 Sergipe";1;-;3;6;1;36;3;2;-;-;1;848;901
"29 Bahia";16;9;32;25;5;159;27;11;-;3;1;4189;4477
"31 Minas Gerais";12;14;41;42;5;201;21;5;-;4;-;3414;3759
"32 Espírito Santo";2;4;4;5;-;58;10;4;-;-;-;1014;1101
"33 Rio de Janeiro";6;4;14;4;1;122;15;1;-;-;2;2494;2663
"35 São Paulo";23;8;34;11;1;360;86;15;-;4;-;4720;5262
"41 Paraná";5;11;37;31;7;139;21;9;-;-;-;2275;2535
"42 Santa Catarina";3;6;9;9;2;64;11;2;-;2;1;1231;1340
"43 Rio Grande do Sul";11;9;24;20;2;126;18;3;-;-;-;2262;2475
"50 Mato Grosso do Sul";7;5;8;9;2;45;5;4;-;1;-;536;622
"51 Mato Grosso";3;2;9;2;1;39;6;1;-;2;-;907;972
"52 Goiás";7;3;9;9;3;75;5;6;-;-;-;1863;1980
"53 Distrito Federal";1;1;3;4;1;20;5;-;-;-;-;417;452
"Total";139;121;363;226;45;2252;305;127;1;19;17;44094;47709
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
