 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2019
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";1;1;3;1;1;15;3;1;-;-;-;393;419
"12 Acre";-;-;1;2;-;10;2;-;-;-;-;176;191
"13 Amazonas";3;3;6;-;1;20;-;2;-;-;2;833;870
"14 Roraima";-;-;-;1;-;6;-;-;-;-;-;92;99
"15 Pará";4;2;15;1;3;97;9;2;-;2;3;2158;2296
"16 Amapá";-;-;1;-;-;7;1;-;-;1;-;181;191
"17 Tocantins";1;1;8;3;1;18;1;2;-;-;-;450;485
"21 Maranhão";9;1;14;3;3;122;6;10;-;3;2;1391;1564
"22 Piauí";2;2;8;8;-;63;4;6;-;-;-;733;826
"23 Ceará";5;11;13;12;3;118;25;6;-;2;3;2481;2679
"24 Rio Grande do Norte";2;3;2;4;2;95;4;3;-;-;-;1013;1128
"25 Paraíba";1;11;7;2;-;46;5;2;-;-;-;880;954
"26 Pernambuco";8;10;14;7;1;139;13;8;-;1;-;2641;2842
"27 Alagoas";1;4;11;1;-;45;2;3;-;-;1;909;977
"28 Sergipe";1;1;4;14;-;30;2;1;-;-;-;806;859
"29 Bahia";25;11;25;19;2;164;28;9;-;1;4;4162;4450
"31 Minas Gerais";10;18;34;52;9;222;16;6;-;2;-;3196;3565
"32 Espírito Santo";2;6;5;4;1;58;3;3;-;-;-;939;1021
"33 Rio de Janeiro";3;-;6;1;2;104;12;3;-;-;-;2241;2372
"35 São Paulo";12;12;35;15;2;410;97;15;-;1;2;4664;5265
"41 Paraná";6;13;35;28;4;138;17;6;1;-;1;2228;2477
"42 Santa Catarina";1;3;5;7;-;68;8;2;-;-;1;1197;1292
"43 Rio Grande do Sul";16;8;12;13;1;96;20;5;-;2;-;1901;2074
"50 Mato Grosso do Sul";3;5;4;3;-;75;10;2;-;2;2;529;635
"51 Mato Grosso";-;6;5;7;-;39;5;1;-;-;-;854;917
"52 Goiás";5;5;7;9;4;76;3;9;-;1;-;1656;1775
"53 Distrito Federal";2;1;2;7;-;21;2;1;-;-;-;433;469
"Total";123;138;282;224;40;2302;298;108;1;18;21;39137;42692
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
