 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Capítulo CID-10
Causas evitáveis: 1.1. Reduzíveis pelas ações de imunoprevenção, 1.2. Reduz ações prom prev contr atenç doenç infec, 1.3. Reduz ações prom prev contr atenç doe ñ trans, 1.4. Reduz ações prev contr atenção causas matern, 1.5. Reduz ações prom prev atenç causas externas
Local ocorrência: Via pública
Período:2021
"Unidade da Federação";"Cap I";"Cap II";"Cap IV";"Cap V";"Cap VI";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIV";"Cap XV";"Cap XX";"Total"
"11 Rondônia";1;2;4;1;-;23;4;1;-;-;1;466;503
"12 Acre";-;-;-;1;2;8;2;-;-;-;-;114;127
"13 Amazonas";1;2;4;4;-;19;1;-;1;-;1;915;948
"14 Roraima";-;-;2;1;-;12;-;-;-;-;-;103;118
"15 Pará";2;9;16;3;2;93;5;6;-;3;4;2093;2236
"16 Amapá";-;-;-;-;-;2;-;1;-;-;-;181;184
"17 Tocantins";1;2;4;6;2;24;4;2;-;-;-;500;545
"21 Maranhão";5;9;13;8;1;98;6;12;-;-;2;1660;1814
"22 Piauí";2;5;5;4;4;36;2;3;-;-;1;856;918
"23 Ceará";6;4;15;28;-;95;8;9;-;3;-;2888;3056
"24 Rio Grande do Norte";-;5;8;4;-;87;4;1;-;-;-;982;1091
"25 Paraíba";2;2;15;3;1;54;9;-;-;1;1;1031;1119
"26 Pernambuco";3;2;18;19;3;103;7;11;-;1;1;2649;2817
"27 Alagoas";4;-;7;4;1;39;4;4;-;-;-;879;942
"28 Sergipe";2;-;10;8;-;44;-;2;-;1;3;629;699
"29 Bahia";25;10;36;35;6;149;10;12;-;-;1;4458;4742
"31 Minas Gerais";17;11;53;43;9;184;15;6;-;3;-;3025;3366
"32 Espírito Santo";3;4;6;9;3;41;2;-;-;-;-;897;965
"33 Rio de Janeiro";5;4;10;21;-;124;19;2;-;2;1;2418;2606
"35 São Paulo";22;15;47;32;4;400;85;14;-;2;1;4893;5515
"41 Paraná";6;11;26;40;3;161;13;8;-;1;-;2549;2818
"42 Santa Catarina";5;2;10;11;5;67;7;3;-;-;-;1162;1272
"43 Rio Grande do Sul";9;12;27;27;2;87;10;-;-;2;-;1906;2082
"50 Mato Grosso do Sul";2;3;2;1;1;56;2;5;-;-;-;556;628
"51 Mato Grosso";5;3;8;3;-;40;1;1;-;2;1;947;1011
"52 Goiás";8;5;10;11;1;68;9;13;-;-;-;1464;1589
"53 Distrito Federal";3;1;3;10;1;30;2;1;-;-;-;401;452
"Total";139;123;359;337;51;2144;231;117;1;21;18;40622;44163
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
