id_municipio,nome_municipio,populacao
1501956,Cachoeira do Piriá - PA,33178
1502004,Cachoeira do Arari - PA,23466
1502103,Cametá - PA,136390
1502152,Canaã dos Carajás - PA,36050
1502202,Capanema - PA,68616
1502301,Capitão Poço - PA,54179
1502400,Castanhal - PA,198294
1502509,Chaves - PA,23482
1502608,Colares - PA,12040
1502707,Conceição do Araguaia - PA,47734
1502756,Concórdia do Pará - PA,32847
1502764,Cumaru do Norte - PA,13179
1502772,Curionópolis - PA,18014
1502806,Curralinho - PA,33893
1502855,Curuá - PA,14197
1502905,Curuçá - PA,39540
1502939,Dom Eliseu - PA,58956
1502954,Eldorado do Carajás - PA,33674
1503002,Faro - PA,7319
1503044,Floresta do Araguaia - PA,20080
1503077,Garrafão do Norte - PA,26020
1503093,Goianésia do Pará - PA,39857
1503101,Gurupá - PA,32991
1503200,Igarapé-Açu - PA,38588
1503309,Igarapé-Miri - PA,62355
1503408,Inhangapi - PA,11559
1503457,Ipixuna do Pará - PA,62455
1503507,Irituia - PA,32504
1503606,Itaituba - PA,101097
1503705,Itupiranga - PA,53182
1503754,Jacareacanga - PA,8899
1503804,Jacundá - PA,58457
1503903,Juruti - PA,56908
1504000,Limoeiro do Ajuru - PA,28583
1504059,Mãe do Rio - PA,29917
1504109,Magalhães Barata - PA,8523
1504208,Marabá - PA,275086
1504307,Maracanã - PA,29429
1504406,Marapanim - PA,28220
1504422,Marituba - PA,129321
1504455,Medicilândia - PA,31213
1504505,Melgaço - PA,27415
1504604,Mocajuba - PA,30736
1504703,Moju - PA,80988
1504752,Mojuí dos Campos - PA,15982
1504802,Monte Alegre - PA,57900
1504901,Muaná - PA,39783
1504950,Nova Esperança do Piriá - PA,21291
1504976,Nova Ipixuna - PA,16499
1505007,Nova Timboteua - PA,15218
1505031,Novo Progresso - PA,25758
1505064,Novo Repartimento - PA,74602
1505106,Óbidos - PA,51964
1505205,Oeiras do Pará - PA,32168
1505304,Oriximiná - PA,72160
1505403,Ourém - PA,17721
1505437,Ourilândia do Norte - PA,32319
1505486,Pacajá - PA,46986
1505494,Palestina do Pará - PA,7596
1505502,Paragominas - PA,111764
1505536,Parauapebas - PA,202882
1505551,Pau D'Arco - PA,5557
1505601,Peixe-Boi - PA,8073
1505635,Piçarra - PA,12983
1505650,Placas - PA,30293
1505700,Ponta de Pedras - PA,30608
1505809,Portel - PA,61126
1505908,Porto de Moz - PA,40458
1506005,Prainha - PA,29886
1506104,Primavera - PA,10792
1506112,Quatipuru - PA,13512
1506138,Redenção - PA,83997
1506161,Rio Maria - PA,18186
1506187,Rondon do Pará - PA,51903
1506195,Rurópolis - PA,49503
1506203,Salinópolis - PA,40424
1506302,Salvaterra - PA,23424
1506351,Santa Bárbara do Pará - PA,20704
1506401,Santa Cruz do Arari - PA,9939
1506500,Santa Izabel do Pará - PA,69746
1506559,Santa Luzia do Pará - PA,19852
1506583,Santa Maria das Barreiras - PA,21042
1506609,Santa Maria do Pará - PA,24725
1506708,Santana do Araguaia - PA,71187
1506807,Santarém - PA,302667
1506906,Santarém Novo - PA,6664
1507003,Santo Antônio do Tauá - PA,31038
1507102,São Caetano de Odivelas - PA,17970
