"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2018"
"1100015";"Alta Floresta D'Oeste (RO)";"498980,1"
"1100023";"Ariquemes (RO)";"2464704,1"
"1100031";"Cabixi (RO)";"140503,2"
"1100049";"Cacoal (RO)";"2175839,9"
"1100056";"Cerejeiras (RO)";"470647,3"
"1100064";"Colorado do Oeste (RO)";"330231,8"
"1100072";"Corumbiara (RO)";"320416,4"
"1100080";"Costa Marques (RO)";"230150,6"
"1100098";"Espigão D'Oeste (RO)";"606072,3"
"1100106";"Guajará-Mirim (RO)";"837458,8"
"1100114";"Jaru (RO)";"1484554,7"
"1100122";"Ji-Paraná (RO)";"3466809,7"
"1100130";"Machadinho D'Oeste (RO)";"642283,2"
"1100148";"Nova Brasilândia D'Oeste (RO)";"345779,2"
"1100155";"Ouro Preto do Oeste (RO)";"807496,8"
"1100189";"Pimenta Bueno (RO)";"1129769,9"
"1100205";"Porto Velho (RO)";"16655670,1"
"1100254";"Presidente Médici (RO)";"418683,1"
"1100262";"Rio Crespo (RO)";"102476,3"
"1100288";"Rolim de Moura (RO)";"1291475,7"
"1100296";"Santa Luzia D'Oeste (RO)";"146269,1"
"1100304";"Vilhena (RO)";"2720979,3"
"1100320";"São Miguel do Guaporé (RO)";"704874,0"
"1100338";"Nova Mamoré (RO)";"508409,3"
"1100346";"Alvorada D'Oeste (RO)";"256200,0"
"1100379";"Alto Alegre dos Parecis (RO)";"278341,6"
"1100403";"Alto Paraíso (RO)";"328757,0"
"1100452";"Buritis (RO)";"680428,1"
"1100502";"Novo Horizonte do Oeste (RO)";"165985,7"
"1100601";"Cacaulândia (RO)";"140567,3"
"1100700";"Campo Novo de Rondônia (RO)";"285322,7"
"1100809";"Candeias do Jamari (RO)";"568963,4"
"1100908";"Castanheiras (RO)";"113026,1"
"1100924";"Chupinguaia (RO)";"300108,6"
"1100940";"Cujubim (RO)";"357078,5"
"1101005";"Governador Jorge Teixeira (RO)";"178490,8"
"1101104";"Itapuã do Oeste (RO)";"173175,0"
"1101203";"Ministro Andreazza (RO)";"205983,1"
"1101302";"Mirante da Serra (RO)";"218549,1"
"1101401";"Monte Negro (RO)";"284071,4"
"1101435";"Nova União (RO)";"121109,5"
"1101450";"Parecis (RO)";"106828,2"
"1101468";"Pimenteiras do Oeste (RO)";"104549,9"
"1101476";"Primavera de Rondônia (RO)";"60539,9"
"1101484";"São Felipe D'Oeste (RO)";"89556,8"
"1101492";"São Francisco do Guaporé (RO)";"352819,3"
"1101500";"Seringueiras (RO)";"234735,5"
"1101559";"Teixeirópolis (RO)";"89190,5"
"1101609";"Theobroma (RO)";"191946,5"
"1101708";"Urupá (RO)";"217075,6"
"1101757";"Vale do Anari (RO)";"159963,7"
"1101807";"Vale do Paraíso (RO)";"150079,8"
"1200013";"Acrelândia (AC)";"253137,9"
"1200054";"Assis Brasil (AC)";"89874,8"
"1200104";"Brasiléia (AC)";"439547,5"
"1200138";"Bujari (AC)";"158190,7"
"1200179";"Capixaba (AC)";"164238,3"
"1200203";"Cruzeiro do Sul (AC)";"1401490,0"
"1200252";"Epitaciolândia (AC)";"440176,8"
"1200302";"Feijó (AC)";"366051,6"
"1200328";"Jordão (AC)";"78137,6"
"1200336";"Mâncio Lima (AC)";"201048,0"
"1200344";"Manoel Urbano (AC)";"138288,1"
"1200351";"Marechal Thaumaturgo (AC)";"192055,0"
"1200385";"Plácido de Castro (AC)";"262260,8"
"1200393";"Porto Walter (AC)";"112166,5"
"1200401";"Rio Branco (AC)";"8911059,6"
"1200427";"Rodrigues Alves (AC)";"187067,6"
"1200435";"Santa Rosa do Purus (AC)";"71761,1"
"1200450";"Senador Guiomard (AC)";"371143,7"
"1200500";"Sena Madureira (AC)";"520297,9"
"1200609";"Tarauacá (AC)";"487947,9"
"1200708";"Xapuri (AC)";"250235,4"
"1200807";"Porto Acre (AC)";"234946,0"
"1300029";"Alvarães (AM)";"170088,7"
"1300060";"Amaturá (AM)";"83446,6"
"1300086";"Anamã (AM)";"116719,1"
"1300102";"Anori (AM)";"218807,5"
"1300144";"Apuí (AM)";"209969,9"
"1300201";"Atalaia do Norte (AM)";"143056,7"
"1300300";"Autazes (AM)";"356934,1"
"1300409";"Barcelos (AM)";"168626,4"
"1300508";"Barreirinha (AM)";"259290,5"
"1300607";"Benjamin Constant (AM)";"310750,6"
"1300631";"Beruri (AM)";"151804,9"
"1300680";"Boa Vista do Ramos (AM)";"140055,1"
"1300706";"Boca do Acre (AM)";"415766,1"
"1300805";"Borba (AM)";"304754,8"
"1300839";"Caapiranga (AM)";"156561,4"
"1300904";"Canutama (AM)";"107991,4"
"1301001";"Carauari (AM)";"307070,5"
"1301100";"Careiro (AM)";"314628,8"
"1301159";"Careiro da Várzea (AM)";"337462,9"
"1301209";"Coari (AM)";"2018615,4"
"1301308";"Codajás (AM)";"501935,1"
"1301407";"Eirunepé (AM)";"518216,4"
"1301506";"Envira (AM)";"157793,9"
"1301605";"Fonte Boa (AM)";"180667,2"
"1301654";"Guajará (AM)";"123680,9"
"1301704";"Humaitá (AM)";"621322,2"
"1301803";"Ipixuna (AM)";"152316,1"
"1301852";"Iranduba (AM)";"678368,5"
"1301902";"Itacoatiara (AM)";"1882624,3"
"1301951";"Itamarati (AM)";"95521,8"
"1302009";"Itapiranga (AM)";"111075,4"
"1302108";"Japurá (AM)";"63037,9"
"1302207";"Juruá (AM)";"104579,1"
"1302306";"Jutaí (AM)";"224322,3"
"1302405";"Lábrea (AM)";"493720,0"
"1302504";"Manacapuru (AM)";"1428779,6"
"1302553";"Manaquiri (AM)";"275567,0"
"1302603";"Manaus (AM)";"78155386,5"
"1302702";"Manicoré (AM)";"529373,8"
"1302801";"Maraã (AM)";"129462,8"
"1302900";"Maués (AM)";"502003,7"
"1303007";"Nhamundá (AM)";"152077,3"
"1303106";"Nova Olinda do Norte (AM)";"247213,9"
"1303205";"Novo Airão (AM)";"136543,0"
"1303304";"Novo Aripuanã (AM)";"200293,2"
"1303403";"Parintins (AM)";"1123079,5"
"1303502";"Pauini (AM)";"157104,4"
