 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Local ocorrência
Período:2019
"Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"11 Rondônia";3383;89;947;448;288;9;5164
"12 Acre";1519;10;534;203;186;4;2456
"13 Amazonas";7292;89;2253;946;745;11;11336
"14 Roraima";1139;11;341;102;205;1;1799
"15 Pará";14104;1611;4459;2437;1983;96;24690
"16 Amapá";1415;59;380;203;170;2;2229
"17 Tocantins";2613;149;946;499;341;7;4555
"21 Maranhão";12091;741;4420;1694;1077;17;20040
"22 Piauí";6523;79;2690;870;529;17;10708
"23 Ceará";16643;1844;6582;2802;1466;14;29351
"24 Rio Grande do Norte";6814;763;2430;1189;509;20;11725
"25 Paraíba";8884;495;3104;1019;694;6;14202
"26 Pernambuco";22170;2659;6649;2941;1576;42;36037
"27 Alagoas";7771;439;2289;1064;506;8;12077
"28 Sergipe";4857;55;1718;905;151;-;7686
"29 Bahia";30476;3310;10807;4786;3255;67;52701
"31 Minas Gerais";48422;6725;13690;3981;3218;89;76125
"32 Espírito Santo";9168;675;2262;1051;618;25;13799
"33 Rio de Janeiro";53120;12325;9977;2554;3328;30;81334
"35 São Paulo";119386;11066;24977;5936;4575;49;165989
"41 Paraná";27304;2013;8190;2610;1729;11;41857
"42 Santa Catarina";16646;540;4328;1369;1130;10;24023
"43 Rio Grande do Sul";33300;1592;7955;2258;2183;33;47321
"50 Mato Grosso do Sul";6404;349;1764;675;577;-;9769
"51 Mato Grosso";7259;769;1846;996;644;8;11522
"52 Goiás";15093;1855;4141;1842;1271;27;24229
"53 Distrito Federal";5131;342;1161;501;201;3;7339
"Total";488927;50654;130840;45881;33155;606;750063
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
