 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Local ocorrência
Período:2023
"Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"11 Rondônia";3996;156;1030;548;377;12;6119
"12 Acre";1513;10;599;165;176;-;2463
"13 Amazonas";8249;70;2513;1143;770;1;12746
"14 Roraima";1330;16;396;99;251;1;2093
"15 Pará";15124;2167;4881;2238;1903;37;26350
"16 Amapá";1469;87;430;224;259;2;2471
"17 Tocantins";2973;245;1001;593;388;7;5207
"21 Maranhão";13183;803;4801;2021;1446;25;22279
"22 Piauí";7096;159;3002;1054;599;7;11917
"23 Ceará";18149;2024;7036;2712;2265;7;32193
"24 Rio Grande do Norte";6844;1005;2598;917;444;29;11837
"25 Paraíba";9315;545;3322;1172;802;7;15163
"26 Pernambuco";23670;2871;7326;3074;1790;10;38741
"27 Alagoas";8167;752;2634;984;853;4;13394
"28 Sergipe";5200;105;1857;671;190;3;8026
"29 Bahia";32762;4515;12101;4813;3735;53;57979
"31 Minas Gerais";53158;6155;16025;4178;3422;108;83046
"32 Espírito Santo";9777;1027;2768;1114;714;16;15416
"33 Rio de Janeiro";51227;12681;11572;2854;2536;20;80890
"35 São Paulo";124206;13808;29340;6290;5094;38;178776
"41 Paraná";29609;2338;9315;2929;2091;17;46299
"42 Santa Catarina";18518;766;5223;1381;1290;9;27187
"43 Rio Grande do Sul";33506;1715;8774;2208;2363;41;48607
"50 Mato Grosso do Sul";7500;336;2177;794;592;10;11409
"51 Mato Grosso";8077;968;2394;1212;771;13;13435
"52 Goiás";17045;1757;4717;1597;1295;22;26433
"53 Distrito Federal";5005;730;1331;424;276;-;7766
"Total";516668;57811;149163;47409;36692;499;808242
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
