 Óbitos por causas evitáveis de 5 a 74 anos - Sergipe
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - SE";8
"280010 AMPARO DE SAO FRANCISCO";17
"280020 AQUIDABA";100
"280030 ARACAJU";1976
"280040 ARAUA";34
"280050 AREIA BRANCA";64
"280060 BARRA DOS COQUEIROS";125
"280067 BOQUIM";102
"280070 BREJO GRANDE";28
"280100 CAMPO DO BRITO";66
"280110 CANHOBA";19
"280120 CANINDE DE SAO FRANCISCO";81
"280130 CAPELA";141
"280140 CARIRA";79
"280150 CARMOPOLIS";57
"280160 CEDRO DE SAO JOAO";35
"280170 CRISTINAPOLIS";66
"280190 CUMBE";11
"280200 DIVINA PASTORA";15
"280210 ESTANCIA";234
"280220 FEIRA NOVA";19
"280230 FREI PAULO";49
"280240 GARARU";32
"280250 GENERAL MAYNARD";13
"280260 GRACHO CARDOSO";19
"280270 ILHA DAS FLORES";30
"280280 INDIAROBA";47
"280290 ITABAIANA";387
"280300 ITABAIANINHA";129
"280310 ITABI";9
"280320 ITAPORANGA D'AJUDA";129
"280330 JAPARATUBA";59
"280340 JAPOATA";57
"280350 LAGARTO";342
"280360 LARANJEIRAS";120
"280370 MACAMBIRA";30
"280380 MALHADA DOS BOIS";23
"280390 MALHADOR";50
"280400 MARUIM";68
"280410 MOITA BONITA";45
"280420 MONTE ALEGRE DE SERGIPE";34
"280430 MURIBECA";22
"280440 NEOPOLIS";70
"280445 NOSSA SENHORA APARECIDA";32
"280450 NOSSA SENHORA DA GLORIA";102
"280460 NOSSA SENHORA DAS DORES";105
"280470 NOSSA SENHORA DE LOURDES";30
"280480 NOSSA SENHORA DO SOCORRO";603
"280490 PACATUBA";47
"280500 PEDRA MOLE";8
"280510 PEDRINHAS";56
"280520 PINHAO";25
"280530 PIRAMBU";35
"280540 POCO REDONDO";81
"280550 POCO VERDE";79
"280560 PORTO DA FOLHA";73
"280570 PROPRIA";140
"280580 RIACHAO DO DANTAS";56
"280590 RIACHUELO";39
"280600 RIBEIROPOLIS";58
"280610 ROSARIO DO CATETE";35
"280620 SALGADO";69
"280630 SANTA LUZIA DO ITANHY";58
"280640 SANTANA DO SAO FRANCISCO";17
"280650 SANTA ROSA DE LIMA";16
"280660 SANTO AMARO DAS BROTAS";48
"280670 SAO CRISTOVAO";314
"280680 SAO DOMINGOS";31
"280690 SAO FRANCISCO";14
"280700 SAO MIGUEL DO ALEIXO";11
"280710 SIMAO DIAS";142
"280720 SIRIRI";31
"280730 TELHA";9
"280740 TOBIAS BARRETO";169
"280750 TOMAR DO GERU";43
"280760 UMBAUBA";97
"Total";7714
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
